"","district","school_number","school","totmem","type","total_from_race","total_white","total_black","total_hispanic","total_asian","free_reduced","per_fr"
"1043","DADE",5401,"SUNSET ELEMENTARY SCHOOL",1124,"elem",1177,370,32,734,24,133,11.8327402135231
"1044","DADE",5410,"ALPHA CHARTER OF EXCELLENCE",228,"elem",267,2,5,260,0,212,92.9824561403509
"1045","DADE",5421,"SUNSET PARK ELEMENTARY SCHOOL",691,"elem",645,47,17,563,15,495,71.6353111432706
"1046","DADE",5431,"SWEETWATER ELEMENTARY SCHOOL",842,"elem",793,4,4,783,2,807,95.8432304038005
"1047","DADE",5441,"SYLVANIA HEIGHTS ELEM. SCHOOL",529,"elem",466,23,9,433,1,402,75.992438563327
"1048","DADE",5481,"TREASURE ISLAND ELEM. SCHOOL",674,"elem",632,101,44,474,11,557,82.6409495548961
"1049","DADE",5521,"TROPICAL ELEMENTARY SCHOOL",479,"elem",442,12,9,416,4,389,81.2108559498956
"1050","DADE",5561,"FRANCES S. TUCKER ELEM. SCHOOL",420,"elem",412,9,171,223,4,390,92.8571428571429
"1051","DADE",5601,"TWIN LAKES ELEMENTARY SCHOOL",583,"elem",540,10,19,506,1,516,88.5077186963979
"1052","DADE",5641,"VILLAGE GREEN ELEMENTARY SCHL",377,"elem",347,12,3,332,0,275,72.9442970822281
"1053","DADE",5671,"VINELAND K-8 CENTER",896,"elem",934,204,84,604,23,334,37.2767857142857
"1054","DADE",5711,"MAE M. WALTERS ELEMENTARY SCHL",668,"elem",584,13,9,561,0,606,90.7185628742515
"1055","DADE",5791,"WEST HOMESTEAD ELEMENTARY SCHL",730,NA,NA,NA,NA,NA,NA,720,98.6301369863014
"1056","DADE",5831,"HENRY S. WEST LABORATORY SCHOO",282,"elem",311,96,24,177,9,48,17.0212765957447
"1057","DADE",5861,"DR. HENRY W MACK/WEST LITTLE R",474,"elem",507,5,329,169,0,462,97.4683544303797
"1058","DADE",5901,"CARRIE P. MEEK/WESTVIEW K-8 CE",632,"elem",708,1,587,115,0,605,95.7278481012658
"1059","DADE",5931,"PHYLLIS WHEATLEY ELEM. SCHOOL",256,"elem",284,4,217,62,0,252,98.4375
"1060","DADE",5951,"WHISPERING PINES ELEM. SCHOOL",642,"elem",644,151,84,374,12,386,60.1246105919003
"1061","DADE",5961,"WINSTON PARK K-8 CENTER",1305,"elem",1334,70,23,1217,19,970,74.3295019157088
"1062","DADE",5971,"NATHAN B. YOUNG ELEM. SCHOOL",373,"elem",388,4,356,27,0,347,93.029490616622
"1063","DADE",5981,"DR. EDWARD L. WHIGHAM ELEM.",800,"elem",862,65,186,583,13,644,80.5
"1064","DADE",5991,"CHARLES DAVID WYCHE, JR ELEMEN",712,"elem",715,24,126,553,8,625,87.7808988764045
"1065","DADE",6001,"HERBERT A. AMMONS MIDDLE SCHL",1216,"mid",1211,172,131,847,46,597,49.0953947368421
"1066","DADE",6003,"PINECREST ACADEMY MIDDLE SCHOO",22,"mid",22,0,0,22,0,12,54.5454545454545
"1067","DADE",6004,"SOMERSET ACADEMY CHARTER MIDDL",234,"mid",212,12,8,187,4,153,65.3846153846154
"1068","DADE",6004,"SOMERSET ACADEMY CHARTER MIDDL",234,"mid",212,12,8,187,4,153,65.3846153846154
"1069","DADE",6004,"SOMERSET ACADEMY CHARTER MIDDL",234,"mid",212,12,8,187,4,153,65.3846153846154
"1070","DADE",6005,"RAMZ ACADEMY 6-8 MIDDLE, MIAMI",128,NA,NA,NA,NA,NA,NA,75,58.59375
"1071","DADE",6006,"ARCHIMEDEAN MIDDLE CONSERVATOR",330,"mid",329,46,2,266,11,178,53.9393939393939
"1072","DADE",6008,"LAWRENCE ACADEMY",79,NA,NA,NA,NA,NA,NA,76,96.2025316455696
"1073","DADE",6009,"MATER EAST ACADEMY MIDDLE SCHO",355,"mid",346,2,12,332,0,339,95.4929577464789
"1074","DADE",6010,"FLORIDA INT'L ACADEMY CHARTER",320,NA,NA,NA,NA,NA,NA,298,93.125
"1075","DADE",6011,"ALLAPATTAH MIDDLE SCHOOL",486,"mid",512,0,306,205,1,437,89.917695473251
"1076","DADE",6012,"MATER ACADEMY CHARTER MIDDLE",1365,"mid",1363,20,54,1283,4,1133,83.003663003663
"1077","DADE",6013,"SOMERSET ACADEMY CHARTER MIDDL",176,"mid",219,41,31,141,4,128,72.7272727272727
"1078","DADE",6013,"SOMERSET ACADEMY CHARTER MIDDL",176,"mid",219,41,31,141,4,128,72.7272727272727
"1079","DADE",6013,"SOMERSET ACADEMY CHARTER MIDDL",176,"mid",219,41,31,141,4,128,72.7272727272727
"1080","DADE",6014,"IMATER ACADEMY MIDDLE SCHOOL",551,"mid",779,10,14,755,0,469,85.1179673321234
"1081","DADE",6015,"SLAM CHARTER MIDDLE SCHOOL",460,"mid",565,28,88,446,3,380,82.6086956521739
"1082","DADE",6020,"ASPIRA RAUL ARNALDO MARTINEZ C",591,"mid",609,5,477,123,1,572,96.7851099830795
"1083","DADE",6021,"ARVIDA MIDDLE SCHOOL",1333,"mid",1370,186,128,1019,29,766,57.4643660915229
"1084","DADE",6022,"PINECREST ACADEMY CHARTER MIDD",597,"mid",532,33,3,494,2,337,56.4489112227806
"1085","DADE",6023,"ANDOVER MIDDLE SCHOOL",909,"mid",789,5,725,51,5,806,88.6688668866887
"1086","DADE",6028,"RENAISSANCE MIDDLE CHARTER SCH",452,"mid",455,30,9,407,5,139,30.7522123893805
"1087","DADE",6030,"DORAL ACADEMY CHARTER MIDDLE S",1300,"mid",1251,100,13,1125,12,754,58
"1088","DADE",6031,"BROWNSVILLE MIDDLE SCHOOL",750,"mid",689,1,516,170,1,706,94.1333333333333
"1089","DADE",6033,"MATER ACADEMY LAKES MIDDLE SCH",798,"mid",833,26,29,767,9,602,75.4385964912281
"1090","DADE",6040,"DOCTORS CHARTER SCHOOL OF MIAM",581,"high",599,99,315,162,21,123,21.1703958691911
"1091","DADE",6041,"PAUL W. BELL MIDDLE SCHOOL",493,"mid",438,7,2,426,3,462,93.7119675456389
"1092","DADE",6042,"MATER GARDENS ACADEMY MIDDLE S",234,"mid",220,20,5,195,0,127,54.2735042735043
"1093","DADE",6043,"SOMERSET ACAD CHARTER MIDDLE (",29,"mid",36,10,3,23,0,14,48.2758620689655
"1094","DADE",6045,"INTERNATIONAL STUDIES CHARTER",294,"mid",298,75,5,212,5,186,63.265306122449
"1095","DADE",6045,"INTERNATIONAL STUDIES CHARTER",294,"high",298,75,5,212,5,186,63.265306122449
"1096","DADE",6047,"MATER ACAD MIDDLE SCHOOL INTER",151,"mid",191,2,23,158,7,141,93.3774834437086
"1097","DADE",6048,"MIAMI COMMUNITY CHARTER MIDDLE",302,"mid",292,3,29,257,2,275,91.0596026490066
"1098","DADE",6049,"RIVER CITIES COMMUNITY CHARTER",139,NA,NA,NA,NA,NA,NA,122,87.7697841726619
"1099","DADE",6051,"CAROL CITY MIDDLE SCHOOL",477,"mid",450,1,388,60,0,454,95.1781970649895
"1100","DADE",6052,"ZELDA GLAZER MIDDLE SCHOOL",1148,"mid",1392,47,10,1316,12,885,77.0905923344948
"1101","DADE",6053,"SOMERSET ACADEMY CHARTER MIDDL",113,"mid",151,21,3,125,2,0,0
"1102","DADE",6053,"SOMERSET ACADEMY CHARTER MIDDL",113,"mid",151,21,3,125,2,0,0
"1103","DADE",6053,"SOMERSET ACADEMY CHARTER MIDDL",113,"mid",151,21,3,125,2,0,0
"1104","DADE",6060,"ASPIRA SOUTH YOUTH LEADERSHIP",307,NA,NA,NA,NA,NA,NA,276,89.9022801302931
"1105","DADE",6061,"CAMPBELL DRIVE MIDDLE SCHOOL",435,NA,NA,NA,NA,NA,NA,413,94.9425287356322
"1106","DADE",6070,"ASPIRA EUGENIO MARIA DE HOSTOS",458,NA,NA,NA,NA,NA,NA,432,94.3231441048035
"1107","DADE",6071,"GEORGE WASHINGTON CARVER MIDDL",963,"mid",1005,352,40,586,19,256,26.5835929387331
"1108","DADE",6081,"CUTLER BAY ACADEMY OF ADVANCED",576,"high",370,68,49,236,10,428,74.3055555555556
"1109","DADE",6081,"CUTLER BAY ACADEMY OF ADVANCED",576,"mid",370,68,49,236,10,428,74.3055555555556
"1110","DADE",6082,"ACADEMIR CHARTER SCHOOL MIDDLE",128,"mid",220,8,1,211,0,83,64.84375
"1111","DADE",6083,"JUST ARTS AND MANAGEMENT CHART",101,"mid",100,8,1,90,1,39,38.6138613861386
"1112","DADE",6091,"CITRUS GROVE MIDDLE SCHOOL",932,"mid",935,12,51,869,2,901,96.6738197424893
"1113","DADE",6111,"CUTLER BAY ACADEMY OF ADVANCED",1095,"high",1153,69,463,591,12,991,90.5022831050228
"1114","DADE",6111,"CUTLER BAY ACADEMY OF ADVANCED",1095,"mid",1153,69,463,591,12,991,90.5022831050228
"1115","DADE",6121,"RUBEN DARIO MIDDLE SCHOOL",624,"mid",654,6,14,630,3,547,87.6602564102564
"1116","DADE",6128,"SOMERSET ACADEMY BAY MIDDLE SC",24,"mid",43,8,0,34,1,0,0
"1117","DADE",6141,"CHARLES R. DREW MIDDLE SCHOOL",122,NA,NA,NA,NA,NA,NA,113,92.6229508196721
"1118","DADE",6161,"LAWTON CHILES MIDDLE SCHOOL",613,"mid",671,29,155,474,8,506,82.5448613376835
"1119","DADE",6171,"HENRY H. FILER MIDDLE SCHOOL",1100,"mid",926,12,16,898,0,1037,94.2727272727273
"1120","DADE",6211,"GLADES MIDDLE SCHOOL",1145,"mid",1111,113,15,966,14,777,67.8602620087336
"1121","DADE",6221,"HAMMOCKS MIDDLE SCHOOL",1074,"mid",1023,75,50,871,16,817,76.0707635009311
"1122","DADE",6231,"HIALEAH MIDDLE SCHOOL",873,"mid",822,11,111,700,0,826,94.6162657502864
"1123","DADE",6241,"HIGHLAND OAKS MIDDLE SCHOOL",1216,"mid",1177,210,491,429,34,855,70.3125
"1124","DADE",6251,"HOMESTEAD MIDDLE SCHOOL",463,"mid",758,16,360,377,1,456,98.488120950324
"1125","DADE",6281,"THOMAS JEFFERSON MIDDLE SCHOOL",368,"mid",342,5,307,29,0,338,91.8478260869565
"1126","DADE",6301,"JOHN F. KENNEDY MIDDLE SCHOOL",1214,"mid",1183,33,824,279,39,1093,90.0329489291598
"1127","DADE",6331,"KINLOCH PARK MIDDLE SCHOOL",1197,"mid",1176,14,9,1152,1,1133,94.6532999164578
"1128","DADE",6351,"LAKE STEVENS MIDDLE SCHOOL",650,"mid",636,7,294,333,2,597,91.8461538461538
"1129","DADE",6361,"JOSE DE DIEGO MIDDLE SCHOOL",638,"mid",631,8,320,301,0,594,93.1034482758621
"1130","DADE",6391,"MADISON MIDDLE SCHOOL",516,"mid",517,3,311,201,0,502,97.2868217054263
"1131","DADE",6411,"HORACE MANN MIDDLE SCHOOL",764,"mid",740,9,598,122,2,716,93.717277486911
"1132","DADE",6441,"HOWARD D. MCMILLAN MIDDLE SCHO",858,"mid",916,60,14,832,5,705,82.1678321678322
"1133","DADE",6481,"MIAMI EDISON MIDDLE SCHOOL",139,NA,NA,NA,NA,NA,NA,137,98.5611510791367
"1134","DADE",6501,"MIAMI LAKES MIDDLE SCHOOL",961,"mid",1026,36,152,828,5,831,86.4724245577523
"1135","DADE",6521,"MIAMI SPRINGS MIDDLE SCHOOL",1468,"mid",1316,37,234,1040,3,1302,88.6920980926431
"1136","DADE",6541,"NAUTILUS MIDDLE SCHOOL",1026,"mid",977,258,68,631,16,771,75.1461988304094
"1137","DADE",6571,"NORLAND MIDDLE SCHOOL",941,"mid",924,3,882,34,1,842,89.4792773645058
"1138","DADE",6591,"NORTH DADE MIDDLE SCHOOL",773,"mid",722,5,605,109,2,701,90.6856403622251
"1139","DADE",6611,"COUNTRY CLUB MIDDLE SCHOOL",1157,"mid",914,19,195,694,5,1026,88.6776145203112
"1140","DADE",6631,"NORTH MIAMI MIDDLE SCHOOL",1020,"mid",978,11,814,143,5,972,95.2941176470588
"1141","DADE",6681,"PALM SPRINGS MIDDLE SCHOOL",1230,"mid",1070,19,29,1015,6,1135,92.2764227642276
"1142","DADE",6701,"PALMETTO MIDDLE SCHOOL",1062,"mid",1079,389,143,468,66,323,30.4143126177024
"1143","DADE",6721,"PARKWAY MIDDLE COMMUNITY SCHL",85,NA,NA,NA,NA,NA,NA,79,92.9411764705882
"1144","DADE",6741,"PONCE DE LEON MIDDLE SCHOOL",1106,"mid",1158,79,144,922,6,882,79.746835443038
"1145","DADE",6751,"HIALEAH GARDENS MIDDLE SCHOOL",1759,"mid",1755,11,13,1720,10,1490,84.7072200113701
"1146","DADE",6761,"REDLAND MIDDLE SCHOOL",463,"mid",485,32,159,289,4,428,92.4406047516199
"1147","DADE",6771,"JORGE MAS CANOSA MIDDLE SCHOOL",1981,"mid",1914,125,85,1650,38,1543,77.8899545683998
"1148","DADE",6781,"RICHMOND HEIGHTS MIDDLE SCHOOL",564,"mid",631,27,331,265,2,484,85.8156028368794
"1149","DADE",6801,"RIVIERA MIDDLE SCHOOL",807,"mid",702,40,10,644,7,680,84.2627013630731
"1150","DADE",6821,"ROCKWAY MIDDLE SCHOOL",1042,"mid",989,26,8,951,4,870,83.4932821497121
"1151","DADE",6841,"SHENANDOAH MIDDLE SCHOOL",1105,"mid",1164,25,99,1034,5,1024,92.6696832579185
"1152","DADE",6861,"SOUTHWOOD MIDDLE SCHOOL",1441,"mid",1442,401,253,734,37,723,50.1734906315059
"1153","DADE",6881,"SOUTH MIAMI MIDDLE SCHOOL",976,"mid",943,147,74,697,19,527,53.9959016393443
"1154","DADE",6901,"W. R. THOMAS MIDDLE SCHOOL",1134,"mid",1146,50,9,1076,10,853,75.2204585537919
"1155","DADE",6921,"LAMAR LOUISE CURRY MIDDLE SCHL",1100,"mid",1074,55,19,958,39,773,70.2727272727273
"1156","DADE",6961,"WEST MIAMI MIDDLE SCHOOL",924,"mid",853,17,5,829,1,839,90.8008658008658
"1157","DADE",6997,"MATER VIRTUAL ACAD CHARTER MID",12,NA,NA,NA,NA,NA,NA,0,0
"1158","DADE",7001,"MIAMI-DADE ONLINE ACAD-VIRTUAL",203,"elem",301,60,54,172,14,107,52.7093596059113
"1159","DADE",7007,"INTERNATIONAL STUDIES CHARTER",402,"mid",399,103,8,286,2,244,60.6965174129353
"1160","DADE",7007,"INTERNATIONAL STUDIES CHARTER",402,"high",399,103,8,286,2,244,60.6965174129353
"1161","DADE",7009,"DORAL PERFORMING ARTS & ENTERT",330,"high",380,34,2,342,2,164,49.6969696969697
"1162","DADE",7011,"AMERICAN SENIOR HIGH SCHOOL",2150,"high",2178,71,605,1471,27,1773,82.4651162790698
"1163","DADE",7014,"MATER PERFORMING ARTS & ENTERT",239,"high",333,9,8,314,2,177,74.0585774058577
"1164","DADE",7015,"STELLAR LEADERSHIP ACADEMY",305,"high",233,0,204,29,0,184,60.327868852459
"1165","DADE",7016,"SPORTS LEADERSHIP OF MIAMI CHA",284,"high",410,20,27,359,4,245,86.2676056338028
"1166","DADE",7018,"MATER ACADEMY LAKES HIGH SCHOO",1013,"high",1158,64,25,1059,8,727,71.7670286278381
"1167","DADE",7020,"DORAL ACADEMY CHARTER HIGH SCH",1390,"high",1548,98,18,1414,16,823,59.2086330935252
"1168","DADE",7022,"ACADEMY OF ARTS & MINDS",339,"high",331,46,31,251,1,95,28.023598820059
"1169","DADE",7024,"MATER ACADEMY HIGH OF INTERNAT",26,"high",20,0,2,18,0,22,84.6153846153846
"1170","DADE",7025,"MATER BRICKELL PREPARATORY ACA",18,"elem",NA,NA,NA,NA,NA,15,83.3333333333333
"1171","DADE",7029,"TERRA ENVIRONMENTAL RESEARCH I",1799,"high",1803,274,46,1392,74,709,39.4107837687604
"1172","DADE",7031,"MAST@FIU",88,"high",182,27,91,54,7,52,59.0909090909091
"1173","DADE",7032,"PALM GLADES PREPARATORY ACADEM",215,"mid",316,11,55,245,2,168,78.1395348837209
"1174","DADE",7032,"PALM GLADES PREPARATORY ACADEM",215,"high",316,11,55,245,2,168,78.1395348837209
"1175","DADE",7033,"LAW ENFORCEMENT OFFICERS MEMOR",355,"high",378,21,105,251,1,274,77.1830985915493
"1176","DADE",7034,"SOMERSET ACADEMY CHARTER HIGH",72,"high",114,20,9,83,2,47,65.2777777777778
"1177","DADE",7034,"SOMERSET ACADEMY CHARTER HIGH",72,"high",114,20,9,83,2,47,65.2777777777778
"1178","DADE",7034,"SOMERSET ACADEMY CHARTER HIGH",72,"high",114,20,9,83,2,47,65.2777777777778
"1179","DADE",7036,"LAWRENCE ACADEMY SENIOR HIGH C",59,NA,NA,NA,NA,NA,NA,56,94.9152542372881
"1180","DADE",7037,"MATER ACADEMY EAST CHARTER HIG",353,"high",343,6,5,330,2,325,92.0679886685552
"1181","DADE",7038,"SOMERSET ACADEMY CHARTER HIGH",32,"high",30,2,1,25,1,18,56.25
"1182","DADE",7038,"SOMERSET ACADEMY CHARTER HIGH",32,"high",30,2,1,25,1,18,56.25
"1183","DADE",7038,"SOMERSET ACADEMY CHARTER HIGH",32,"high",30,2,1,25,1,18,56.25
"1184","DADE",7041,"SCHOOL FOR ADVAN STUDIES-WOLF",116,"high",116,16,22,73,5,59,50.8620689655172
"1185","DADE",7042,"SOMERSET ACADEMY CHARTER HIGH",349,"high",351,26,28,293,3,275,78.7965616045845
"1186","DADE",7042,"SOMERSET ACADEMY CHARTER HIGH",349,"high",351,26,28,293,3,275,78.7965616045845
"1187","DADE",7042,"SOMERSET ACADEMY CHARTER HIGH",349,"high",351,26,28,293,3,275,78.7965616045845
"1188","DADE",7048,"ALONZO & TRACY MOURNING SENIOR",1752,"high",1601,400,319,850,26,1099,62.7283105022831
"1189","DADE",7049,"WESTLAND HIALEAH SENIOR HIGH S",2156,"high",2114,30,24,2055,3,1930,89.5176252319109
"1190","DADE",7050,"KEYS GATE CHARTER HIGH SCHOOL",1125,"high",1169,132,243,778,12,664,59.0222222222222
"1191","DADE",7051,"G. HOLMES BRADDOCK SENIOR HIGH",3443,"high",3571,135,38,3363,28,2608,75.7478942782457
"1192","DADE",7053,"PINECREST PREPARATORY ACADEMY",418,"elem",477,19,1,454,3,273,65.311004784689
"1193","DADE",7053,"PINECREST PREPARATORY ACADEMY",418,"high",477,19,1,454,3,273,65.311004784689
"1194","DADE",7055,"YOUNG WOMENS PREPARATORY ACADE",397,"mid",413,53,88,266,1,264,66.4987405541562
"1195","DADE",7056,"YOUNG MEN'S PREPARATORY ACADEM",222,"mid",224,7,139,77,1,189,85.1351351351351
"1196","DADE",7058,"MIAMI COMMUNITY CHARTER HIGH S",205,"high",254,9,25,220,0,158,77.0731707317073
"1197","DADE",7059,"MIAMI ARTS CHARTER",704,"mid",1202,267,185,721,15,139,19.7443181818182
"1198","DADE",7060,"EVERGLADES PREPARATORY ACADEMY",356,"mid",461,43,42,373,1,278,78.0898876404494
"1199","DADE",7060,"EVERGLADES PREPARATORY ACADEMY",356,"high",461,43,42,373,1,278,78.0898876404494
"1200","DADE",7061,"SCHOOL FOR ADVANCED STUD NORTH",111,"high",103,8,42,51,1,59,53.1531531531532
"1201","DADE",7062,"MAVERICKS HIGH OF NORTH MIAMI",485,"high",513,20,360,130,3,182,37.5257731958763
"1202","DADE",7065,"MAVERICKS HIGH OF SOUTH MIAMI",445,"high",509,13,241,248,5,382,85.8426966292135
"1203","DADE",7066,"LBA CONSTRUCTION AND BUSINESS",115,"high",163,2,3,158,0,95,82.6086956521739
"1204","DADE",7067,"GREEN SPRINGS HIGH SCHOOL CHAR",360,"high",365,12,52,300,1,176,48.8888888888889
"1205","DADE",7068,"NORTH GARDENS HIGH SCHOOL CHAR",366,"high",330,7,218,104,1,234,63.9344262295082
"1206","DADE",7069,"NORTH PARK HIGH SCHOOL CHARTER",368,NA,NA,NA,NA,NA,NA,192,52.1739130434783
"1207","DADE",7070,"YOUTH CO-OP PREPARATORY HIGH S",120,"high",165,4,2,158,0,84,70
"1208","DADE",7071,"CORAL GABLES SENIOR HIGH SCHOO",3339,"high",3424,347,228,2813,33,2353,70.4702006588799
"1209","DADE",7080,"CHARTER HIGH SCHOOL OF THE AME",90,"high",90,0,4,86,0,84,93.3333333333333
"1210","DADE",7081,"DESIGN & ARCHITECTURE SENIOR H",525,"high",520,117,67,318,13,209,39.8095238095238
"1211","DADE",7090,"IMATER PREPARATORY ACADEMY HIG",203,"high",402,6,7,389,0,161,79.3103448275862
"1212","DADE",7091,"SCHOOL FOR ADVANCED STUDIES -",239,"high",237,28,10,183,16,99,41.4225941422594
"1213","DADE",7101,"CORAL REEF SENIOR HIGH SCHOOL",3229,"high",3213,596,389,2059,116,1367,42.33508826262
"1214","DADE",7111,"HIALEAH SENIOR HIGH SCHOOL",2889,"high",2781,55,151,2571,1,2492,86.2582208376601
"1215","DADE",7121,"JOHN A. FERGUSON SR HIGH",4234,"high",4106,256,90,3650,88,2565,60.5810108644308
"1216","DADE",7131,"HIALEAH-MIAMI LAKES SR. HIGH",1684,"high",1716,59,395,1246,14,1370,81.353919239905
"1217","DADE",7141,"DR MICHAEL M. KROP SENIOR HIGH",2708,"high",2684,596,1091,926,60,1506,55.6129985228951
"1218","DADE",7151,"HOMESTEAD SENIOR HIGH SCHOOL",1734,"high",1780,57,801,909,3,1557,89.7923875432526
"1219","DADE",7160,"MATER ACADEMY CHARTER HIGH",1723,"high",1759,35,49,1672,1,1355,78.6419036564132
"1220","DADE",7161,"MAST ACADEMY",839,"high",937,242,51,615,27,239,28.4862932061979
"1221","DADE",7171,"MEDICAL ACADEMY FOR SCIENCE/TE",471,"high",510,70,88,329,20,303,64.3312101910828
"1222","DADE",7191,"HIALEAH GARDENS SENIOR HIGH SC",3072,"high",3089,58,23,2991,17,2495,81.2174479166667
"1223","DADE",7201,"MIAMI BEACH SENIOR HIGH SCHOOL",2473,"high",2383,549,209,1579,38,1698,68.6615446825718
"1224","DADE",7231,"MIAMI CAROL CITY SENIOR HIGH",1744,"high",1606,15,1351,231,3,1525,87.4426605504587
"1225","DADE",7241,"RONALD W. REAGAN/DORAL SENIOR",2097,"high",2083,171,19,1861,28,942,44.9213161659514
"1226","DADE",7251,"MIAMI CENTRAL SENIOR HIGH SCHL",1963,"high",1850,14,1475,356,2,1620,82.5267447784004
"1227","DADE",7262,"CITY OF HIALEAH EDUCATION ACAD",566,"high",613,18,10,582,3,497,87.8091872791519
"1228","DADE",7265,"ARCHIMEDEAN UPPER CONSERVATORY",227,"high",276,29,4,215,24,107,47.136563876652
"1229","DADE",7271,"MIAMI CORAL PARK SENIOR HIGH",2865,"high",2798,79,24,2684,11,2300,80.2792321116928
"1230","DADE",7291,"JOSE MARTI MAST 6-12 ACADEMY",571,"mid",679,27,76,564,11,437,76.5323992994746
"1231","DADE",7301,"MIAMI EDISON SENIOR HIGH SCHL",886,"high",793,4,661,122,2,778,87.8103837471783
"1232","DADE",7341,"MIAMI JACKSON SENIOR HIGH SCHL",1485,"high",1632,9,481,1137,3,1350,90.9090909090909
"1233","DADE",7351,"ARTHUR AND POLLY MAYS CONSERVA",572,"mid",639,37,308,279,6,503,87.9370629370629
"1234","DADE",7361,"MIAMI KILLIAN SENIOR HIGH SCHL",2467,"high",2303,301,504,1432,41,1480,59.9918929874341
"1235","DADE",7371,"ROBERT MORGAN EDUCATIONAL CENT",2250,"high",2359,222,484,1603,31,1604,71.2888888888889
"1236","DADE",7381,"MIAMI NORLAND SENIOR HIGH SCHO",1609,"high",1665,10,1562,85,4,1319,81.9763828464885
"1237","DADE",7391,"MIAMI LAKES EDUCATIONAL CENTER",1467,"high",1403,45,398,923,29,1099,74.9147920927062
"1238","DADE",7411,"MIAMI NORTHWESTERN SENIOR HIGH",1633,"high",1601,5,1471,121,1,1412,86.4666258420086
"1239","DADE",7431,"MIAMI PALMETTO SR. HIGH SCHL",2714,"high",2612,887,433,1147,117,955,35.1879145173176
"1240","DADE",7461,"MIAMI SENIOR HIGH SCHOOL",2860,"high",2964,57,126,2772,8,2525,88.2867132867133
"1241","DADE",7511,"MIAMI SPRINGS SENIOR HIGH SCHL",1763,"high",1703,91,201,1392,15,1410,79.977311401021
"1242","DADE",7531,"MIAMI SUNSET SENIOR HIGH SCHL",1921,"high",1774,146,82,1527,15,1406,73.1910463300364
"1243","DADE",7541,"NORTH MIAMI BEACH SENIOR HIGH",1968,"high",1830,50,1363,362,45,1475,74.9491869918699
"1244","DADE",7551,"SCHOOL FOR ADVANCED STUDIES HO",118,"high",125,22,17,81,3,61,51.6949152542373
"1245","DADE",7571,"INTERNATIONAL STUDIES PREPARAT",261,"high",321,53,6,258,3,139,53.2567049808429
"1246","DADE",7581,"I PREPARATORY ACADEMY",170,"high",207,28,41,133,5,103,60.5882352941176
"1247","DADE",7591,"NORTH MIAMI SENIOR HIGH SCHOOL",2542,"high",2561,31,2182,322,17,2222,87.411487018096
"1248","DADE",7601,"WILLIAM H. TURNER TECHNICAL AR",1522,"high",1572,13,1268,282,4,1345,88.3705650459921
"1249","DADE",7631,"MIAMI MACARTHUR SOUTH",85,"high",79,2,42,34,1,75,88.2352941176471
"1250","DADE",7701,"SOUTH DADE SENIOR HIGH SCHOOL",3281,"high",3104,343,655,2068,20,2671,81.4081072843645
"1251","DADE",7721,"SOUTH MIAMI SENIOR HIGH SCHOOL",2308,"high",2303,121,118,2054,7,1735,75.1733102253033
"1252","DADE",7731,"MIAMI SOUTHRIDGE SENIOR HIGH",2106,"high",2077,117,814,1109,18,1763,83.713200379867
"1253","DADE",7741,"SOUTHWEST MIAMI SENIOR HIGH",3151,"high",3095,164,40,2872,13,2527,80.1967629324024
"1254","DADE",7751,"BARBARA GOLEMAN SENIOR HIGH",1691,"high",1636,109,120,1380,23,1149,67.9479597871082
"1255","DADE",7781,"FELIX VARELA SENIOR HIGH SCHL",3169,"high",3021,282,104,2572,46,2240,70.6847585989271
"1256","DADE",7791,"BOOKER T. WASHINGTON SR HIGH",894,"high",984,12,524,445,2,822,91.9463087248322
"1257","DADE",7804,"AMIKIDS MIAMI-DADE SOUTH",60,"high",29,1,15,13,0,29,48.3333333333333
"1258","DADE",7805,"AMIKIDS MIAMI-DADE NORTH",67,"high",50,3,33,14,0,33,49.2537313432836
"1259","DADE",7806,"DADE JUVENILE RESIDENTIAL FACI",53,"high",28,7,13,8,0,0,0
"1260","DADE",7812,"MIAMI BRIDGE SOUTH",11,"high",0,0,0,0,0,0,0
"1261","DADE",7819,"BOYSTOWN",50,"high",27,0,1,26,0,0,0
"1262","DADE",7823,"HERE'S HELP",17,"high",0,0,0,0,0,0,0
"1263","DADE",7826,"JACKSON SIPP/CHILD CRISIS",17,NA,NA,NA,NA,NA,NA,0,0
"1264","DADE",7832,"MIAMI BRIDGE NORTH",16,"high",0,0,0,0,0,13,81.25
"1265","DADE",7833,"CITRUS HEALTH SIPP/CRISIS",14,NA,NA,NA,NA,NA,NA,0,0
"1266","DADE",7835,"RICHMOND PERRINE OPTIMIST",105,"high",74,0,57,17,0,82,78.0952380952381
"1267","DADE",7839,"JUVENILE CORRECTIONS (JC)",24,NA,NA,NA,NA,NA,NA,10,41.6666666666667
"1268","DADE",7840,"TURNER/GUILFORD/KNIGHT",41,"high",12,0,8,4,0,20,48.780487804878
"1269","DADE",7855,"MIAMI CHILDREN'S HOSPITAL",0,NA,NA,NA,NA,NA,NA,0,NA
"1270","DADE",7860,"SECONDARY STUDENT SUCCESS CENT",43,"mid",19,2,5,12,0,39,90.6976744186046
"1271","DADE",7860,"SECONDARY STUDENT SUCCESS CENT",43,"mid",19,2,5,12,0,39,90.6976744186046
"1272","DADE",7860,"SECONDARY STUDENT SUCCESS CENT",43,"high",19,2,5,12,0,39,90.6976744186046
"1273","DADE",7860,"SECONDARY STUDENT SUCCESS CENT",43,"mid",19,2,5,12,0,39,90.6976744186046
