"","district","school_number","school","totmem","type","total_from_race","total_white","total_black","total_hispanic","total_asian","free_reduced","per_fr"
"345","BROWARD",1661,"HOLLYWOOD HILLS HIGH SCHOOL",2086,"high",2074,565,510,862,66,1464,70.1821668264621
"346","BROWARD",1671,"C. ROBERT MARKHAM ELEMENTARY",611,"elem",596,7,401,179,2,590,96.5630114566285
"347","BROWARD",1681,"COCONUT CREEK HIGH SCHOOL",1384,"high",1466,118,1086,191,39,1095,79.1184971098266
"348","BROWARD",1701,"LAUDERDALE LAKES MIDDLE SCHOOL",1030,"mid",992,16,839,111,12,936,90.873786407767
"349","BROWARD",1711,"DEERFIELD BEACH HIGH SCHOOL",2375,"high",2393,515,1136,604,62,1607,67.6631578947368
"350","BROWARD",1741,"BOYD H. ANDERSON HIGH SCHOOL",1813,"high",1794,29,1634,92,20,1532,84.5008273579702
"351","BROWARD",1751,"MIRAMAR HIGH SCHOOL",2606,"high",2519,53,2019,294,105,1763,67.6515732924021
"352","BROWARD",1752,"WHISPERING PINES SCHOOL",231,"high",196,64,70,52,0,130,56.2770562770563
"353","BROWARD",1761,"HOLLYWOOD PARK ELEMENTARY SCHO",523,"elem",525,69,141,275,27,450,86.0420650095602
"354","BROWARD",1762,"POSTSECONDARY ALTERNATIVES SEC",13,"high",10,0,5,5,0,0,0
"355","BROWARD",1781,"CYPRESS ELEMENTARY SCHOOL",875,"elem",913,54,394,435,11,810,92.5714285714286
"356","BROWARD",1791,"APOLLO MIDDLE SCHOOL",1214,"mid",1232,196,401,533,52,956,78.7479406919275
"357","BROWARD",1811,"SHERIDAN HILLS ELEMENTARY SCHL",611,"elem",572,161,91,288,18,439,71.8494271685761
"358","BROWARD",1831,"ORIOLE ELEMENTARY SCHOOL",660,"elem",636,10,587,27,9,628,95.1515151515152
"359","BROWARD",1841,"MIRROR LAKE ELEMENTARY SCHOOL",490,"elem",557,84,299,128,27,348,71.0204081632653
"360","BROWARD",1851,"ROYAL PALM ELEMENTARY SCHOOL",740,"elem",778,13,717,32,2,705,95.2702702702703
"361","BROWARD",1871,"CRYSTAL LAKE COMMUNITY MIDDLE",1369,"mid",1335,224,746,321,12,1108,80.9349890430971
"362","BROWARD",1881,"PINES MIDDLE SCHOOL",1358,"mid",1297,115,635,459,45,969,71.3549337260677
"363","BROWARD",1891,"SEMINOLE MIDDLE SCHOOL",1137,"mid",1083,325,369,319,28,657,57.7836411609499
"364","BROWARD",1901,"PIPER HIGH SCHOOL",2490,"high",2406,407,1443,419,72,1543,61.9678714859438
"365","BROWARD",1931,"COOPER CITY HIGH SCHOOL",2140,"high",2218,1159,143,705,118,557,26.0280373831776
"366","BROWARD",1951,"PARK RIDGE ELEMENTARY SCHOOL",527,"elem",520,22,415,80,1,506,96.0151802656546
"367","BROWARD",1971,"JAMES S. HUNT ELEMENTARY SCHOO",826,"elem",789,52,394,290,17,697,84.3825665859564
"368","BROWARD",2001,"BANYAN ELEMENTARY SCHOOL",716,"elem",718,80,451,120,23,567,79.1899441340782
"369","BROWARD",2011,"CORAL COVE ELEMENTARY SCHOOL",840,"elem",865,83,256,449,55,417,49.6428571428571
"370","BROWARD",2021,"GLADES MIDDLE SCHOOL",1483,"mid",1359,148,445,576,134,646,43.5603506405934
"371","BROWARD",2041,"BEACHSIDE MONTESSORI VILLAGE",770,"elem",772,483,62,177,17,214,27.7922077922078
"372","BROWARD",2052,"WESTPINE MIDDLE SCHOOL",1196,"mid",1063,184,546,238,39,816,68.2274247491639
"373","BROWARD",2071,"PASADENA LAKES ELEMENTARY SCHL",583,"elem",568,123,140,260,22,400,68.6106346483705
"374","BROWARD",2121,"JAMES S. RICKARDS MIDDLE SCHOO",953,"mid",991,241,265,437,14,770,80.797481636936
"375","BROWARD",2123,"CYPRESS RUN ALTERNATIVE/ESE",78,"mid",77,3,67,7,0,62,79.4871794871795
"376","BROWARD",2221,"ATLANTIC TECHNICAL CENTER",639,NA,NA,NA,NA,NA,NA,351,54.9295774647887
"377","BROWARD",2231,"NORTH LAUDERDALE ELEMENTARY",592,"elem",658,14,527,90,8,565,95.4391891891892
"378","BROWARD",2351,"SOUTH PLANTATION HIGH SCHOOL",2383,"high",2379,596,902,735,71,1524,63.9530004196391
"379","BROWARD",2511,"ATLANTIC WEST ELEMENTARY SCHL",652,"elem",667,92,359,171,26,524,80.3680981595092
"380","BROWARD",2531,"HORIZON ELEMENTARY SCHOOL",530,"elem",558,97,274,130,32,390,73.5849056603774
"381","BROWARD",2541,"FLAMINGO ELEMENTARY SCHOOL",685,"elem",661,268,33,329,15,396,57.8102189781022
"382","BROWARD",2551,"CORAL SPRINGS ELEMENTARY SCHL",622,"elem",596,86,338,137,15,520,83.6012861736334
"383","BROWARD",2561,"CORAL SPRINGS MIDDLE SCHOOL",1257,"mid",1176,434,318,303,71,625,49.7215592680986
"384","BROWARD",2571,"PIONEER MIDDLE SCHOOL",1311,"mid",1291,710,70,371,81,333,25.4004576659039
"385","BROWARD",2611,"BAIR MIDDLE SCHOOL",922,"mid",895,114,525,178,32,713,77.3318872017354
"386","BROWARD",2621,"TAMARAC ELEMENTARY SCHOOL",880,"elem",845,195,328,272,18,642,72.9545454545455
