Lunch Status,,,,,,,,
"School Year 2013-14, Survey 2 Data, Final (as of 05/11/14)",,,,,,,,
DISTRICT/SCHOOL TOTALS,,,,,,,,
An asterisk (*) replaces data when the cohort is fewer than ten students. A blank cell indicates no students in the cohort.,,,,,,,,
, ,,,,,,,
District Number,District Name,School Number,School Name,Total Members,#Free ,#Reduced Priced  ,#Provision 2,#Direct Cert
13,DADE,6011,ALLAPATTAH MIDDLE SCHOOL,486,437,*,,
13,DADE,6012,MATER ACADEMY CHARTER MIDDLE,"1,365",874,259,,
13,DADE,6013,SOMERSET ACADEMY CHARTER MIDDL,176,117,11,,
13,DADE,6014,IMATER ACADEMY MIDDLE SCHOOL,551,402,67,,
13,DADE,6015,SLAM CHARTER MIDDLE SCHOOL,460,324,56,,
13,DADE,6020,ASPIRA RAUL ARNALDO MARTINEZ C,591,535,37,,
13,DADE,6021,ARVIDA MIDDLE SCHOOL,"1,333",579,187,,
13,DADE,6022,PINECREST ACADEMY CHARTER MIDD,597,240,97,,
13,DADE,6023,ANDOVER MIDDLE SCHOOL,909,747,59,,
13,DADE,6028,RENAISSANCE MIDDLE CHARTER SCH,452,139,*,,
13,DADE,6030,DORAL ACADEMY CHARTER MIDDLE S,"1,300",536,218,,
13,DADE,6031,BROWNSVILLE MIDDLE SCHOOL,750,686,20,,
13,DADE,6033,MATER ACADEMY LAKES MIDDLE SCH,798,463,139,,
13,DADE,6040,DOCTORS CHARTER SCHOOL OF MIAM,581,123,*,,
13,DADE,6041,PAUL W. BELL MIDDLE SCHOOL,493,418,44,,
13,DADE,6042,MATER GARDENS ACADEMY MIDDLE S,234,98,29,,
13,DADE,6043,SOMERSET ACAD CHARTER MIDDLE (,29,14,*,,
13,DADE,6045,INTERNATIONAL STUDIES CHARTER,294,158,28,,
13,DADE,6047,MATER ACAD MIDDLE SCHOOL INTER,151,123,18,,
13,DADE,6048,MIAMI COMMUNITY CHARTER MIDDLE,302,275,*,,
13,DADE,6049,RIVER CITIES COMMUNITY CHARTER,139,122,*,,
13,DADE,6051,CAROL CITY MIDDLE SCHOOL,477,434,20,,
13,DADE,6052,ZELDA GLAZER MIDDLE SCHOOL,"1,148",716,169,,
13,DADE,6053,SOMERSET ACADEMY CHARTER MIDDL,113,*,,,
13,DADE,6060,ASPIRA SOUTH YOUTH LEADERSHIP,307,264,12,,
13,DADE,6061,CAMPBELL DRIVE MIDDLE SCHOOL,435,400,13,,
13,DADE,6070,ASPIRA EUGENIO MARIA DE HOSTOS,458,432,*,,
13,DADE,6071,GEORGE WASHINGTON CARVER MIDDL,963,202,54,,
13,DADE,6081,CUTLER BAY ACADEMY OF ADVANCED,576,376,52,,
13,DADE,6082,ACADEMIR CHARTER SCHOOL MIDDLE,128,69,14,,
13,DADE,6083,JUST ARTS AND MANAGEMENT CHART,101,29,10,,
13,DADE,6091,CITRUS GROVE MIDDLE SCHOOL,932,871,30,,
13,DADE,6111,CUTLER BAY ACADEMY OF ADVANCED,"1,095",926,65,,
13,DADE,6121,RUBEN DARIO MIDDLE SCHOOL,624,462,85,,
13,DADE,6128,SOMERSET ACADEMY BAY MIDDLE SC,24,*,,,
13,DADE,6141,CHARLES R. DREW MIDDLE SCHOOL,122,113,*,,
13,DADE,6161,LAWTON CHILES MIDDLE SCHOOL,613,427,79,,
13,DADE,6171,HENRY H. FILER MIDDLE SCHOOL,"1,100",964,73,,
13,DADE,6211,GLADES MIDDLE SCHOOL,"1,145",634,143,,
13,DADE,6221,HAMMOCKS MIDDLE SCHOOL,"1,074",676,141,,
13,DADE,6231,HIALEAH MIDDLE SCHOOL,873,758,68,,
13,DADE,6241,HIGHLAND OAKS MIDDLE SCHOOL,"1,216",731,124,,
13,DADE,6251,HOMESTEAD MIDDLE SCHOOL,463,444,12,,
13,DADE,6281,THOMAS JEFFERSON MIDDLE SCHOOL,368,322,16,,
13,DADE,6301,JOHN F. KENNEDY MIDDLE SCHOOL,"1,214",999,94,,
13,DADE,6331,KINLOCH PARK MIDDLE SCHOOL,"1,197","1,036",97,,
13,DADE,6351,LAKE STEVENS MIDDLE SCHOOL,650,552,45,,
13,DADE,6361,JOSE DE DIEGO MIDDLE SCHOOL,638,584,10,,
13,DADE,6391,MADISON MIDDLE SCHOOL,516,492,10,,
13,DADE,6411,HORACE MANN MIDDLE SCHOOL,764,685,31,,
13,DADE,6441,HOWARD D. MCMILLAN MIDDLE SCHO,858,572,133,,
13,DADE,6481,MIAMI EDISON MIDDLE SCHOOL,139,137,*,,
13,DADE,6501,MIAMI LAKES MIDDLE SCHOOL,961,727,104,,
13,DADE,6521,MIAMI SPRINGS MIDDLE SCHOOL,"1,468","1,188",114,,
13,DADE,6541,NAUTILUS MIDDLE SCHOOL,"1,026",669,102,,
13,DADE,6571,NORLAND MIDDLE SCHOOL,941,760,82,,
13,DADE,6591,NORTH DADE MIDDLE SCHOOL,773,656,45,,
13,DADE,6611,COUNTRY CLUB MIDDLE SCHOOL,"1,157",900,126,,
13,DADE,6631,NORTH MIAMI MIDDLE SCHOOL,"1,020",940,32,,
13,DADE,6681,PALM SPRINGS MIDDLE SCHOOL,"1,230","1,015",120,,
13,DADE,6701,PALMETTO MIDDLE SCHOOL,"1,062",278,45,,
13,DADE,6721,PARKWAY MIDDLE COMMUNITY SCHL,85,79,*,,
13,DADE,6741,PONCE DE LEON MIDDLE SCHOOL,"1,106",798,84,,
13,DADE,6751,HIALEAH GARDENS MIDDLE SCHOOL,"1,759","1,260",230,,
13,DADE,6761,REDLAND MIDDLE SCHOOL,463,404,24,,
13,DADE,6771,JORGE MAS CANOSA MIDDLE SCHOOL,"1,981","1,285",258,,
13,DADE,6781,RICHMOND HEIGHTS MIDDLE SCHOOL,564,438,46,,
13,DADE,6801,RIVIERA MIDDLE SCHOOL,807,582,98,,
13,DADE,6821,ROCKWAY MIDDLE SCHOOL,"1,042",747,123,,
13,DADE,6841,SHENANDOAH MIDDLE SCHOOL,"1,105",943,81,,
13,DADE,6861,SOUTHWOOD MIDDLE SCHOOL,"1,441",620,103,,
13,DADE,6881,SOUTH MIAMI MIDDLE SCHOOL,976,409,118,,
13,DADE,6901,W. R. THOMAS MIDDLE SCHOOL,"1,134",697,156,,
13,DADE,6921,LAMAR LOUISE CURRY MIDDLE SCHL,"1,100",572,201,,
13,DADE,6961,WEST MIAMI MIDDLE SCHOOL,924,746,93,,
13,DADE,6997,MATER VIRTUAL ACAD CHARTER MID,12,*,,,
13,DADE,7001,MIAMI-DADE ONLINE ACAD-VIRTUAL,203,93,14,,
13,DADE,7007,INTERNATIONAL STUDIES CHARTER,402,210,34,,
13,DADE,7009,DORAL PERFORMING ARTS & ENTERT,330,106,58,,
13,DADE,7011,AMERICAN SENIOR HIGH SCHOOL,"2,150","1,505",268,,
13,DADE,7014,MATER PERFORMING ARTS & ENTERT,239,130,47,,
13,DADE,7015,STELLAR LEADERSHIP ACADEMY,305,184,,,
13,DADE,7016,SPORTS LEADERSHIP OF MIAMI CHA,284,220,25,,
13,DADE,7018,MATER ACADEMY LAKES HIGH SCHOO,"1,013",551,176,,
13,DADE,7020,DORAL ACADEMY CHARTER HIGH SCH,"1,390",562,261,,
13,DADE,7022,ACADEMY OF ARTS & MINDS,339,95,*,,
13,DADE,7024,MATER ACADEMY HIGH OF INTERNAT,26,22,*,,
13,DADE,7025,MATER BRICKELL PREPARATORY ACA,18,15,,,
13,DADE,7029,TERRA ENVIRONMENTAL RESEARCH I,"1,799",494,215,,
13,DADE,7031,MAST@FIU,88,38,14,,
13,DADE,7032,PALM GLADES PREPARATORY ACADEM,215,144,24,,
13,DADE,7033,LAW ENFORCEMENT OFFICERS MEMOR,355,231,43,,
13,DADE,7034,SOMERSET ACADEMY CHARTER HIGH,72,47,*,,
13,DADE,7036,LAWRENCE ACADEMY SENIOR HIGH C,59,56,*,,
13,DADE,7037,MATER ACADEMY EAST CHARTER HIG,353,299,26,,
13,DADE,7038,SOMERSET ACADEMY CHARTER HIGH,32,18,*,,
13,DADE,7041,SCHOOL FOR ADVAN STUDIES-WOLF,116,42,17,,
13,DADE,7042,SOMERSET ACADEMY CHARTER HIGH,349,226,49,,
13,DADE,7048,ALONZO & TRACY MOURNING SENIOR,"1,752",909,190,,
13,DADE,7049,WESTLAND HIALEAH SENIOR HIGH S,"2,156","1,719",211,,
13,DADE,7050,KEYS GATE CHARTER HIGH SCHOOL,"1,125",568,96,,
13,DADE,7051,G. HOLMES BRADDOCK SENIOR HIGH,"3,443","2,197",411,,
13,DADE,7053,PINECREST PREPARATORY ACADEMY,418,214,59,,
13,DADE,7055,YOUNG WOMENS PREPARATORY ACADE,397,212,52,,
13,DADE,7056,YOUNG MEN'S PREPARATORY ACADEM,222,167,22,,
13,DADE,7058,MIAMI COMMUNITY CHARTER HIGH S,205,158,*,,
13,DADE,7059,MIAMI ARTS CHARTER,704,139,,,
13,DADE,7060,EVERGLADES PREPARATORY ACADEMY,356,244,34,,
13,DADE,7061,SCHOOL FOR ADVANCED STUD NORTH,111,45,14,,
13,DADE,7062,MAVERICKS HIGH OF NORTH MIAMI,485,182,*,,
13,DADE,7065,MAVERICKS HIGH OF SOUTH MIAMI,445,382,*,,
13,DADE,7066,LBA CONSTRUCTION AND BUSINESS,115,80,15,,
13,DADE,7067,GREEN SPRINGS HIGH SCHOOL CHAR,360,176,*,,
13,DADE,7068,NORTH GARDENS HIGH SCHOOL CHAR,366,234,*,,
13,DADE,7069,NORTH PARK HIGH SCHOOL CHARTER,368,192,,,
13,DADE,7070,YOUTH CO-OP PREPARATORY HIGH S,120,68,16,,
13,DADE,7071,CORAL GABLES SENIOR HIGH SCHOO,"3,339","2,051",302,,
13,DADE,7080,CHARTER HIGH SCHOOL OF THE AME,90,84,*,,
13,DADE,7081,DESIGN & ARCHITECTURE SENIOR H,525,154,55,,
13,DADE,7090,IMATER PREPARATORY ACADEMY HIG,203,140,21,,
13,DADE,7091,SCHOOL FOR ADVANCED STUDIES -,239,64,35,,
13,DADE,7101,CORAL REEF SENIOR HIGH SCHOOL,"3,229","1,032",335,,
13,DADE,7111,HIALEAH SENIOR HIGH SCHOOL,"2,889","2,204",288,,
13,DADE,7121,JOHN A. FERGUSON SR HIGH,"4,234","2,047",518,,
13,DADE,7131,HIALEAH-MIAMI LAKES SR. HIGH,"1,684","1,225",145,,
13,DADE,7141,DR MICHAEL M. KROP SENIOR HIGH,"2,708","1,297",209,,
13,DADE,7151,HOMESTEAD SENIOR HIGH SCHOOL,"1,734","1,488",69,,
13,DADE,7160,MATER ACADEMY CHARTER HIGH,"1,723","1,044",311,,
13,DADE,7161,MAST ACADEMY,839,166,73,,
13,DADE,7171,MEDICAL ACADEMY FOR SCIENCE/TE,471,255,48,,
13,DADE,7191,HIALEAH GARDENS SENIOR HIGH SC,"3,072","2,157",338,,
13,DADE,7201,MIAMI BEACH SENIOR HIGH SCHOOL,"2,473","1,433",265,,
13,DADE,7231,MIAMI CAROL CITY SENIOR HIGH,"1,744","1,404",121,,
13,DADE,7241,RONALD W. REAGAN/DORAL SENIOR,"2,097",723,219,,
13,DADE,7251,MIAMI CENTRAL SENIOR HIGH SCHL,"1,963","1,539",81,,
13,DADE,7262,CITY OF HIALEAH EDUCATION ACAD,566,393,104,,
13,DADE,7265,ARCHIMEDEAN UPPER CONSERVATORY,227,71,36,,
13,DADE,7271,MIAMI CORAL PARK SENIOR HIGH,"2,865","1,982",318,,
13,DADE,7291,JOSE MARTI MAST 6-12 ACADEMY,571,354,83,,
13,DADE,7301,MIAMI EDISON SENIOR HIGH SCHL,886,778,*,,
13,DADE,7341,MIAMI JACKSON SENIOR HIGH SCHL,"1,485","1,302",48,,
13,DADE,7351,ARTHUR AND POLLY MAYS CONSERVA,572,459,44,,
13,DADE,7361,MIAMI KILLIAN SENIOR HIGH SCHL,"2,467","1,248",232,,
13,DADE,7371,ROBERT MORGAN EDUCATIONAL CENT,"2,250","1,331",273,,
13,DADE,7381,MIAMI NORLAND SENIOR HIGH SCHO,"1,609","1,207",112,,
13,DADE,7391,MIAMI LAKES EDUCATIONAL CENTER,"1,467",888,211,,
13,DADE,7411,MIAMI NORTHWESTERN SENIOR HIGH,"1,633","1,329",83,,
13,DADE,7431,MIAMI PALMETTO SR. HIGH SCHL,"2,714",821,134,,
13,DADE,7461,MIAMI SENIOR HIGH SCHOOL,"2,860","2,343",182,,
13,DADE,7511,MIAMI SPRINGS SENIOR HIGH SCHL,"1,763","1,261",149,,
13,DADE,7531,MIAMI SUNSET SENIOR HIGH SCHL,"1,921","1,157",249,,
13,DADE,7541,NORTH MIAMI BEACH SENIOR HIGH,"1,968","1,356",119,,
13,DADE,7551,SCHOOL FOR ADVANCED STUDIES HO,118,38,23,,
13,DADE,7571,INTERNATIONAL STUDIES PREPARAT,261,107,32,,
13,DADE,7581,I PREPARATORY ACADEMY,170,72,31,,
13,DADE,7591,NORTH MIAMI SENIOR HIGH SCHOOL,"2,542","2,103",119,,
13,DADE,7601,WILLIAM H. TURNER TECHNICAL AR,"1,522","1,201",144,,
13,DADE,7631,MIAMI MACARTHUR SOUTH,85,75,*,,
13,DADE,7701,SOUTH DADE SENIOR HIGH SCHOOL,"3,281","2,453",218,,
13,DADE,7721,SOUTH MIAMI SENIOR HIGH SCHOOL,"2,308","1,577",158,,
13,DADE,7731,MIAMI SOUTHRIDGE SENIOR HIGH,"2,106","1,650",113,,
13,DADE,7741,SOUTHWEST MIAMI SENIOR HIGH,"3,151","2,092",435,,
13,DADE,7751,BARBARA GOLEMAN SENIOR HIGH,"1,691",912,237,,
13,DADE,7781,FELIX VARELA SENIOR HIGH SCHL,"3,169","1,799",441,,
13,DADE,7791,BOOKER T. WASHINGTON SR HIGH,894,801,21,,
13,DADE,7804,AMIKIDS MIAMI-DADE SOUTH,60,29,*,,
13,DADE,7805,AMIKIDS MIAMI-DADE NORTH,67,33,,,
13,DADE,7806,DADE JUVENILE RESIDENTIAL FACI,53,*,,,
13,DADE,7812,MIAMI BRIDGE SOUTH,11,*,,,
13,DADE,7819,BOYSTOWN,50,,,,
13,DADE,7823,HERE'S HELP,17,*,,,
13,DADE,7826,JACKSON SIPP/CHILD CRISIS,17,*,,,
13,DADE,7832,MIAMI BRIDGE NORTH,16,13,,,
13,DADE,7833,CITRUS HEALTH SIPP/CRISIS,14,*,,,
13,DADE,7835,RICHMOND PERRINE OPTIMIST,105,82,*,,
13,DADE,7839,JUVENILE CORRECTIONS (JC),24,10,,,
13,DADE,7840,TURNER/GUILFORD/KNIGHT,41,20,,,
13,DADE,7855,MIAMI CHILDREN'S HOSPITAL,*,*,,,
13,DADE,7860,SECONDARY STUDENT SUCCESS CENT,43,39,*,,
13,DADE,7861,SECONDARY STUDENT SUCCESS CENT,28,24,,,
13,DADE,7862,SECONDARY STUDENT SUCCESS CENT,47,32,*,,
13,DADE,7863,SECONDARY STUDENT SUCCESS CENT,19,17,,,
13,DADE,7865,HIS HOUSE,74,,,,
13,DADE,7901,NEW WORLD SCHOOL OF THE ARTS,480,116,38,,
13,DADE,8016,TEENAGE PARENT PROGRAM,264,118,,,
13,DADE,8019,ACADEMY FOR COMMUNITY ED (ACE),69,59,*,,
13,DADE,8021,TITLE I MIGRANT EDUCATION PROG,16,16,,,
13,DADE,8101,JAN MANN OPPORTUNITY SCHOOL,72,58,*,,
13,DADE,8121,COPE CENTER NORTH,121,108,*,,
13,DADE,8131,DOROTHY M. WALLACE COPE CENTER,112,102,*,,
13,DADE,8141,JUVENILE JUSTICE CTR ALT ED,82,36,*,,
13,DADE,8151,ROBERT RENICK EDUCATION CENTER,122,109,*,,
13,DADE,8181,RUTH OWENS KRUSE EDUCATION CEN,160,129,*,,
13,DADE,9013,PREK INTERVENTION,348,130,,,
13,DADE,9731,INSTRUCTIONAL CENTER SYSTEM WI,126,30,*,,
13,DADE,9732,BRUCIE BALL EDUCATIONAL CENTER,405,204,12,,
14,DESOTO,9999,DISTRICT RECORD,"4,700",,,,"3,480"
14,DESOTO,0031,DESOTO COUNTY HIGH SCHOOL,"1,149",,,,801
14,DESOTO,0061,WEST ELEMENTARY SCHOOL,822,,,,547
14,DESOTO,0081,MEMORIAL ELEMENTARY SCHOOL,914,,,,742
14,DESOTO,0161,DESOTO MIDDLE SCHOOL,"1,076",,,,803
14,DESOTO,0181,NOCATEE ELEMENTARY SCHOOL,562,,,,491
14,DESOTO,0191,SPRING LAKE YOUTH ACADEMY,28,,,,
14,DESOTO,0291,DESOTO CONNECTIONS,25,,,,19
14,DESOTO,0341,EARLY EDUCATION CENTER,116,,,,70
14,DESOTO,9003,HOSPITAL AND HOMEBOUND,*,,,,*
14,DESOTO,9114,REDUCED SERVICES,*,,,,*
15,DIXIE,9999,DISTRICT RECORD,"2,085",*,*,"2,017",
15,DIXIE,0021,DIXIE COUNTY HIGH SCHOOL,517,,,517,
15,DIXIE,0041,OLD TOWN ELEMENTARY SCHOOL,548,,,548,
15,DIXIE,0043,KINDER CUB SCHOOL INC,62,41,*,,
15,DIXIE,0101,JAMES M. ANDERSON ELEMENTARY S,504,,,504,
15,DIXIE,0111,RUTH RAINS MIDDLE SCHOOL,448,,,448,
15,DIXIE,7004,DIXIE VIRTUAL FRANCHISE,*,,,,
15,DIXIE,7023,DIXIE VIRTUAL INSTRUCTION PROG,*,*,,,
16,DUVAL,9999,DISTRICT RECORD,"127,661","59,787","4,415",,
16,DUVAL,0061,MATTIE V RUTHERFORD ALT ED CTR,75,56,,,
16,DUVAL,0112,SCHOOL FOR THE FUTURE,811,567,13,,
16,DUVAL,0121,WEST RIVERSIDE ELEMENTARY SCHO,297,150,*,,
16,DUVAL,0141,GRAND PARK CAREER CENTER,166,107,*,,
16,DUVAL,0151,BRENTWOOD ELEMENTARY SCHOOL,345,268,*,,
16,DUVAL,0161,ORTEGA ELEMENTARY SCHOOL,425,235,26,,
16,DUVAL,0181,CENTRAL RIVERSIDE ELEM. SCHOOL,399,205,*,,
16,DUVAL,0191,RUTH N. UPSON ELEMENTARY SCHL,474,290,*,,
16,DUVAL,0201,FISHWEIR ELEMENTARY SCHOOL,416,141,20,,
16,DUVAL,0211,ANNIE R. MORGAN ELEMENTARY SCH,365,292,,,
16,DUVAL,0251,KIRBY-SMITH MIDDLE SCHOOL,952,358,87,,
16,DUVAL,0261,ESE PRE KINDERGARTEN DISABILIT,181,82,,,
16,DUVAL,0301,LORETTO ELEMENTARY SCHOOL,"1,089",229,45,,
16,DUVAL,0311,JULIA LANDON COLLEGE PREPARTOR,745,109,29,,
16,DUVAL,0321,MARINE SCIENCE EDUCATION CENTE,34,12,,,
16,DUVAL,0331,ROBERT E. LEE HIGH SCHOOL,"1,826",966,112,,
16,DUVAL,0351,ANDREW JACKSON HIGH SCHOOL,700,488,*,,
16,DUVAL,0371,HENRY F. KITE ELEMENTARY SCHOO,293,176,*,,
16,DUVAL,0381,BALDWIN MIDDLE-SENIOR HIGH SCH,"1,066",386,65,,
16,DUVAL,0391,GATEWAY COMMUNITY SERVICES,20,10,,,
16,DUVAL,0411,DUVAL ACADEMY,25,*,,,
16,DUVAL,0431,IMPACT HALFWAY HOUSE,23,*,,,
16,DUVAL,0451,DINSMORE ELEMENTARY SCHOOL,517,299,29,,
16,DUVAL,0461,ARLINGTON ELEMENTARY SCHOOL,295,200,*,,
16,DUVAL,0471,LONE STAR HIGH SCHOOL,286,140,*,,
16,DUVAL,0481,THOMAS JEFFERSON ELEMENTARY,569,293,26,,
16,DUVAL,0491,DUVAL REGIONAL JUVENILE DETENT,105,49,*,,
16,DUVAL,0501,DROP BACK IN ACADEMY OF DUVAL,437,174,*,,
16,DUVAL,0511,WHITEHOUSE ELEMENTARY SCHOOL,448,262,20,,
16,DUVAL,0531,DUVAL MYCROSCHOOL,215,104,*,,
16,DUVAL,0541,JAMES WELDON JOHNSON ACADEMIC,486,389,*,,
16,DUVAL,0591,GARDEN CITY ELEMENTARY SCHOOL,500,254,12,,
16,DUVAL,0601,KIPP VOICE ELEMENTARY SCHOOL,199,130,,,
16,DUVAL,0621,OCEANWAY SCHOOL,"1,224",465,83,,
16,DUVAL,0631,DUNCAN U. FLETCHER MIDDLE SCHO,"1,136",312,41,,
16,DUVAL,0641,HOGAN-SPRING GLEN ELEMENTARY S,387,216,*,,
16,DUVAL,0651,ATLANTIC BEACH ELEMENTARY SCHO,454,147,13,,
16,DUVAL,0661,ALFRED I. DUPONT MIDDLE SCHOOL,816,482,26,,
16,DUVAL,0681,VENETIA ELEMENTARY SCHOOL,432,236,42,,
16,DUVAL,0691,LAKE SHORE MIDDLE SCHOOL,"1,238",749,31,,
16,DUVAL,0701,NORTH SHORE ELEMENTARY,670,554,*,,
16,DUVAL,0711,HENDRICKS AVENUE ELEMENTARY SC,697,144,19,,
16,DUVAL,0721,SPRING PARK ELEMENTARY SCHOOL,451,307,*,,
16,DUVAL,0731,JOHN LOVE ELEMENTARY SCHOOL,205,172,*,,
16,DUVAL,0741,LAKE FOREST ELEMENTARY SCHOOL,454,328,*,,
16,DUVAL,0751,PAXON SCHOOL/ADVANCED STUDIES,"1,500",289,73,,
16,DUVAL,0761,SOUTHSIDE ESTATES ELEM. SCHOOL,517,294,*,,
16,DUVAL,0771,HYDE PARK ELEMENTARY SCHOOL,445,323,*,,
16,DUVAL,0781,BILTMORE ELEMENTARY SCHOOL,377,299,,,
16,DUVAL,0791,RAMONA BOULEVARD ELEMENTARY SC,393,306,*,,
16,DUVAL,0801,SAN PABLO ELEMENTARY SCHOOL,585,148,21,,
16,DUVAL,0811,PACE CENTER FOR GIRLS-JAX,72,52,,,
16,DUVAL,0821,LOVE GROVE ELEMENTARY SCHOOL,474,264,*,,
16,DUVAL,0831,SAN JOSE ELEMENTARY SCHOOL,819,532,*,,
16,DUVAL,0841,BAYVIEW ELEMENTARY SCHOOL,390,222,*,,
16,DUVAL,0851,LAKE LUCINA ELEMENTARY SCHOOL,400,228,*,,
16,DUVAL,0861,TERRY PARKER HIGH SCHOOL,"1,545",822,82,,
16,DUVAL,0871,ENGLEWOOD ELEMENTARY SCHOOL,420,255,*,,
16,DUVAL,0881,JOHN STOCKTON ELEMENTARY SCHOO,534,122,33,,
16,DUVAL,0891,WOODLAND ACRES ELEMENTARY SCHL,778,595,*,,
16,DUVAL,0901,ENGLEWOOD HIGH SCHOOL,"1,807","1,059",80,,
16,DUVAL,0911,SALLYE B. MATHIS ELEMENTARY SC,434,333,*,,
16,DUVAL,0921,EUGENE BUTLER MIDDLE SCHOOL,580,433,*,,
16,DUVAL,0931,PINEDALE ELEMENTARY SCHOOL,364,280,,,
16,DUVAL,0941,WINDY HILL ELEMENTARY SCHOOL,678,471,*,,
16,DUVAL,0951,RUTLEDGE H. PEARSON ELEMENTARY,292,229,,,
16,DUVAL,0961,JEAN RIBAULT HIGH SCHOOL,"1,186",641,13,,
16,DUVAL,0971,CEDAR HILLS ELEMENTARY SCHOOL,450,260,*,,
16,DUVAL,0981,TIMUCUAN ELEMENTARY SCHOOL,582,375,*,,
16,DUVAL,0991,HIGHLANDS ELEMENTARY SCHOOL,398,259,*,,
16,DUVAL,1021,SCHOOL OF SUCCESS ACADEMY-SOS,127,81,*,,
16,DUVAL,1061,LONG BRANCH ELEMENTARY SCHOOL,240,204,*,,
16,DUVAL,1073,DOUGLAS ANDERSON SCHOOL OF THE,"1,218",154,42,,
16,DUVAL,1131,WAYMAN ACADEMY OF THE ARTS,352,286,,,
16,DUVAL,1161,SADIE T. TILLIS ELEMENTARY  SC,576,399,*,,
16,DUVAL,1181,SCHOOL FOR ACCELERATED LEARNIN,117,38,,,
16,DUVAL,1191,PATHWAYS ACADEMY HIGH SCHOOL,124,53,,,
16,DUVAL,1201,RIVER CITY SCIENCE ACADEMY,844,209,*,,
16,DUVAL,1211,TIGER ACADEMY,217,92,,,
16,DUVAL,1221,GLOBAL OUTREACH CHARTER ACADEM,438,214,,,
16,DUVAL,1231,DUVAL CHARTER SCHOOL AT ARLING,655,388,*,,
16,DUVAL,1241,SAINT CLAIR EVANS ACADEMY,492,431,*,,
16,DUVAL,1251,"SOMERSET ACADEMY-ELEMENTARY, E",268,121,,,
16,DUVAL,1261,"SOMERSET ACADEMY-MIDDLE, EAGLE",143,58,,,
16,DUVAL,1271,KIPP IMPACT MIDDLE SCHOOL,355,241,,,
16,DUVAL,1281,SUSIE E. TOLBERT ELEMENTARY SC,287,163,11,,
16,DUVAL,1291,RIVER CITY SCIENCE ELEMENTARY,353,117,*,,
16,DUVAL,1311,DUVAL CHARTER HIGH SCHOOL AT B,364,46,,,
16,DUVAL,1321,DUVAL CHARTER AT BAYMEADOWS,"1,286",170,*,,
16,DUVAL,1331,WAVERLY ACADEMY,209,85,*,,
16,DUVAL,1341,MURRAY HILL HIGH SCHOOL,273,139,,,
16,DUVAL,1371,SEACOAST CHARTER ACADEMY,258,87,*,,
16,DUVAL,1381,SOMERSET EAGLE HIGH SCHOOL,23,11,,,
16,DUVAL,1411,J. ALLEN AXSON ELEM SCHOOL,564,56,13,,
16,DUVAL,1421,CHAFFEE TRAIL ELEMENTARY,720,319,56,,
16,DUVAL,1431,WEST JACKSONVILLE ELEM. SCHOOL,271,210,*,,
16,DUVAL,1441,JACKSONVILLE BEACH ELEMENTARY,615,33,*,,
16,DUVAL,1451,DARNELL COOKMAN MIDDLE/HIGH SC,"1,166",366,81,,
16,DUVAL,1461,MATTHEW W. GILBERT MIDDLE SCHO,472,370,*,,
16,DUVAL,1481,RICHARD L. BROWN ELEMENTARY SC,519,382,*,,
16,DUVAL,1491,SMART POPE LIVINGSTON ELEM.,460,390,*,,
16,DUVAL,1501,NEW BERLIN ELEMENTARY SCHOOL,"1,158",331,52,,
16,DUVAL,1521,JAMES W JOHNSON COLLEG PREP MI,"1,085",214,51,,
16,DUVAL,1531,STANTON COLLEGE PREPARATORY,"1,519",143,65,,
16,DUVAL,1542,JOHN E. FORD K-8 SCHOOL,691,409,14,,
16,DUVAL,1551,NORTHWESTERN MIDDLE SCHOOL,447,355,*,,
16,DUVAL,1581,GEORGE WASHINGTON CARVER ELEM.,354,286,*,,
16,DUVAL,1591,PINE FOREST ELEMENTARY SCHOOL,496,179,26,,
16,DUVAL,1601,WATERLEAF ELEMENTARY,695,271,33,,
16,DUVAL,1611,BARTRAM SPRINGS ELEMENTARY,923,138,20,,
16,DUVAL,1621,R. V. DANIELS ELEMENTARY SCHL,327,225,*,,
16,DUVAL,1631,RUFUS E. PAYNE ELEMENTARY SCHO,354,285,*,,
16,DUVAL,1641,MT. HERMAN ESE CENTER,140,77,14,,
16,DUVAL,1651,WILLIAM M. RAINES HIGH SCHOOL,"1,043",661,*,,
16,DUVAL,1661,CARTER G. WOODSON ELEM. SCHOOL,608,506,*,,
16,DUVAL,1691,S. A. HULL ELEMENTARY SCHOOL,260,185,*,,
16,DUVAL,1701,PALM AVENUE EXCEP. STUDENT CTR,143,86,13,,
16,DUVAL,1761,PRETRIAL DETENTION FACILITY,63,30,,,
16,DUVAL,1811,HOSPITAL AND HOMEBOUND,178,65,*,,
16,DUVAL,1821,YOUTH DEVELOPMENT CENTER,33,22,,,
16,DUVAL,1851,AMIKIDS JACKSONVILLE,39,22,,,
16,DUVAL,1981,TEEN PARENT SERVICE CENTER,179,125,,,
16,DUVAL,2021,REYNOLDS LANE ELEMENTARY SCHL,288,212,,,
16,DUVAL,2031,KINGS TRAIL ELEMENTARY SCHOOL,453,290,*,,
16,DUVAL,2051,PICKETT ELEMENTARY SCHOOL,226,159,,,
16,DUVAL,2061,BROOKVIEW ELEMENTARY SCHOOL,738,376,16,,
16,DUVAL,2072,J. E. B. STUART MIDDLE SCHOOL,850,558,17,,
16,DUVAL,2081,PARKWOOD HEIGHTS ELEMENTARY  S,397,239,,,
