Lunch Status,,,,,,,,
"School Year 2013-14, Survey 2 Data, Final (as of 05/11/14)",,,,,,,,
DISTRICT/SCHOOL TOTALS,,,,,,,,
An asterisk (*) replaces data when the cohort is fewer than ten students. A blank cell indicates no students in the cohort.,,,,,,,,
, ,,,,,,,
District Number,District Name,School Number,School Name,Total Members,#Free ,#Reduced Priced  ,#Provision 2,#Direct Cert
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,603,395,38,,
03,BAY,9999,DISTRICT RECORD,"27,055","11,932","2,524",,"1,237"
03,BAY,0061,BAY HIGH SCHOOL,"1,331",645,146,,
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,793,423,96,,
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCH,685,387,99,,
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,487,390,39,,
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,543,378,64,,
03,BAY,0111,MERRIAM CHERRY STREET ELEM.,426,308,33,,
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHL,528,,,,361
03,BAY,0141,EVERITT MIDDLE SCHOOL,773,549,82,,
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,827,497,74,,
03,BAY,0161,JINKS MIDDLE SCHOOL,572,454,47,,
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,765,292,99,,
03,BAY,0191,OAKLAND TERRACE SCHL FOR VIS,369,,,,257
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,727,331,83,,
03,BAY,0211,PARKER ELEMENTARY SCHOOL,621,472,48,,
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,416,231,55,,
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,475,*,,,323
03,BAY,0241,ST. ANDREW SCHOOL,129,104,*,,
03,BAY,0251,WALLER ELEMENTARY SCHOOL,493,385,53,,
03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,137,82,15,,
03,BAY,0291,OSCAR PATTERSON ELEM MAGNET,386,,,,296
03,BAY,0331,MOWAT MIDDLE SCHOOL,"1,006",413,103,,
03,BAY,0341,RUTHERFORD HIGH SCHOOL,"1,219",565,129,,
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,616,255,38,,
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,676,422,62,,
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,"1,692",501,135,,
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,801,192,152,,
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,718,406,86,,
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,764,262,63,,
03,BAY,0531,NEW HORIZONS LEARNING CENTER,113,88,12,,
03,BAY,0541,DEANE BOZEMAN SCHOOL,"1,181",627,113,,
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,"1,585",564,126,,
03,BAY,0571,BREAKFAST POINT ACADEMY,"1,415",581,158,,
03,BAY,0581,ROSENWALD HIGH SCHOOL,304,245,21,,
03,BAY,0591,C C WASHINGTON ACADEMY,112,92,*,,
03,BAY,0602,BAY REG.JUVENILE DETENTION CTR,18,10,*,,
03,BAY,0604,PANAMA CITY MARINE INSTITUTE,101,72,*,,
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,690,118,59,,
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOO,517,93,49,,
03,BAY,0731,NORTH BAY HAVEN CHARTER ACADEM,328,70,34,,
03,BAY,0741,NORTH BAY HAVEN CAREER ACADEMY,543,68,37,,
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEM,464,99,37,,
03,BAY,0771,NEWPOINT BAY CHARTER HIGH SCHO,105,33,*,,
03,BAY,0781,CHAUTAUQUA CHARTER SCHOOL,47,41,*,,
03,BAY,0791,NEWPOINT MIDDLE SCHOOL,188,89,23,,
03,BAY,2701,RISING LEADERS ACADEMY,94,29,*,,
03,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.",174,40,21,,
03,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRA,38,*,*,,
03,BAY,7004,BAY VIRTUAL FRANCHISE,63,23,*,,
04,BRADFORD,9999,DISTRICT RECORD,"3,238","1,739",261,,
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,822,341,66,,
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,489,256,45,,
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,594,402,39,,
04,BRADFORD,0121,RAINBOW CENTER,72,34,,,
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,224,128,18,,
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,134,75,*,,
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL,711,391,66,,
04,BRADFORD,0181,HAMPTON ELEMENTARY SCHOOL,166,96,17,,
04,BRADFORD,0201,BRADFORD INTERVENTION CENTER,21,16,*,,
04,BRADFORD,7004,BRADFORD VIRTUAL FRANCHISE,*,,,,
04,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DIST,*,,,,
05,BREVARD,9999,DISTRICT RECORD,"71,234","26,157","3,345",,"2,323"
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,"1,322",418,46,,
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,827,469,36,,
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,514,279,23,,
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,803,484,40,,
05,BREVARD,0072,RIVERVIEW SCHOOL,110,,,,88
05,BREVARD,0073,SOUTH AREA HEAD START,33,,,,30
05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL,57,40,*,,
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,570,376,44,,
05,BREVARD,0101,MIMS ELEMENTARY SCHOOL,602,435,13,,
05,BREVARD,0141,ANDREW JACKSON MIDDLE SCHOOL,538,254,36,,
