MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
06,BROWARD,1931,COOPER CITY HIGH SCHOOL,10,276,35,182,26, , ,24,264,279,543
06,BROWARD,1931,COOPER CITY HIGH SCHOOL,11,273,32,171,30, ,6,22,256,278,534
06,BROWARD,1931,COOPER CITY HIGH SCHOOL,12,285,37,170,30, ,3,13,269,269,538
06,BROWARD,1931,SCHOOL TOTALS,TOTAL,"1,159",143,705,118, ,11,82,"1,106","1,112","2,218"
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,PK,4,78,9, , , , ,44,47,91
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,KG,2,66,12, , , ,1,42,39,81
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,1,5,40,19, , , , ,30,34,64
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,2,3,47,14, , , ,1,34,31,65
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,3,4,56,7, , , , ,33,34,67
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,4,3,65,8, , , , ,35,41,76
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,5,1,63,11,1, , , ,44,32,76
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,6, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,7, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,8, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,9, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,10, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,11, , , , , , , , , , 
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,12, , , , , , , , , , 
06,BROWARD,1951,SCHOOL TOTALS,TOTAL,22,415,80,1, , ,2,262,258,520
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,PK,*,*,*,*,*,*,*,*,*,*
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,KG,4,54,50,2, , ,7,60,57,117
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,1,9,57,42,2, , ,6,49,67,116
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,2,4,75,64,2, , ,5,76,74,150
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,3,9,73,44,4,2, ,6,62,76,138
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,4,17,65,42,4,1, ,5,57,77,134
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,5,9,70,48,3, , ,4,73,61,134
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,6, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,7, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,8, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,9, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,10, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,11, , , , , , , , , , 
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOO,12, , , , , , , , , , 
06,BROWARD,1971,SCHOOL TOTALS,TOTAL,53,394,290,17,3, ,33,378,412,790
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,PK,3,24,6,2, , ,2,11,26,37
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,KG,8,63,12,2, , ,3,45,43,88
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,1,14,67,20,6, ,2,5,51,63,114
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,2,17,84,21,2,1,1,5,57,74,131
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,3,19,74,19,3, , ,4,49,70,119
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,4,9,76,23,5, , ,13,67,59,126
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,5,10,63,19,3, ,1,7,46,57,103
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,6, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,7, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,8, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,9, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,10, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,11, , , , , , , , , , 
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,12, , , , , , , , , , 
06,BROWARD,2001,SCHOOL TOTALS,TOTAL,80,451,120,23,1,4,39,326,392,718
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,KG,13,35,64,13, , ,4,57,72,129
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,1,21,47,98,9, , ,3,78,100,178
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,2,16,37,73,12, , ,4,69,73,142
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,3,11,43,70,5, , ,4,58,75,133
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,4,12,45,73,4, ,1,3,60,78,138
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,5,10,49,71,12, , ,3,70,75,145
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,6, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,7, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,8, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,9, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,10, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,11, , , , , , , , , , 
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,12, , , , , , , , , , 
06,BROWARD,2011,SCHOOL TOTALS,TOTAL,83,256,450,55, ,1,21,393,473,866
06,BROWARD,2021,GLADES MIDDLE SCHOOL,PK, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,KG, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,1, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,2, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,3, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,4, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,5, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,6,54,143,179,51, ,1,15,214,229,443
06,BROWARD,2021,GLADES MIDDLE SCHOOL,7,43,157,190,31,1,2,18,210,232,442
06,BROWARD,2021,GLADES MIDDLE SCHOOL,8,51,145,207,52,1, ,18,215,259,474
06,BROWARD,2021,GLADES MIDDLE SCHOOL,9, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,10, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,11, , , , , , , , , , 
06,BROWARD,2021,GLADES MIDDLE SCHOOL,12, , , , , , , , , , 
06,BROWARD,2021,SCHOOL TOTALS,TOTAL,148,445,576,134,2,3,51,639,720,"1,359"
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,PK,49,5,13,3, , ,3,36,37,73
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,KG,51,3,19,2,2, ,1,38,40,78
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,1,46,9,21,1, , ,3,36,44,80
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,2,48,6,19, , , ,1,40,34,74
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,3,61,3,23,2, , ,2,48,43,91
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,4,44,8,20,1,1, ,1,32,43,75
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,5,52,6,11,3, , ,7,38,41,79
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,6,38,6,20, , ,1,5,32,38,70
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,7,47,10,19,1, , ,1,39,39,78
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,8,47,6,12,4, , ,5,40,34,74
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,9, , , , , , , , , , 
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,10, , , , , , , , , , 
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,11, , , , , , , , , , 
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,12, , , , , , , , , , 
06,BROWARD,2041,SCHOOL TOTALS,TOTAL,483,62,177,17,3,1,29,379,393,772
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,PK, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,KG, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,1, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,2, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,3, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,4, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,5, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,6,53,183,76,10,2,2,15,166,175,341
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,7,65,180,77,13,1,1,17,182,172,354
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,8,66,183,85,16,2,3,13,167,201,368
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,9, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,10, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,11, , , , , , , , , , 
06,BROWARD,2052,WESTPINE MIDDLE SCHOOL,12, , , , , , , , , , 
06,BROWARD,2052,SCHOOL TOTALS,TOTAL,184,546,238,39,5,6,45,515,548,"1,063"
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,PK,2,3,13,1, , ,2,5,16,21
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,KG,23,20,41,4, , ,6,36,58,94
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,1,15,19,40,2, ,1,4,32,49,81
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,2,26,21,42,4, , ,3,47,49,96
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,3,22,34,36,3, ,1,1,50,47,97
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,4,22,24,43,2, , ,3,40,54,94
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,5,13,19,45,6, ,1,1,35,50,85
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,6, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,7, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,8, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,9, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,10, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,11, , , , , , , , , , 
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,12, , , , , , , , , , 
06,BROWARD,2071,SCHOOL TOTALS,TOTAL,123,140,260,22, ,3,20,245,323,568
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,PK, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,KG, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,1, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,2, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,3, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,4, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,5, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,6,76,81,143,4, ,1,9,151,163,314
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,7,81,98,138,5, ,1,10,146,187,333
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,8,84,86,156,5, ,3,10,168,176,344
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,9, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,10, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,11, , , , , , , , , , 
06,BROWARD,2121,JAMES S. RICKARDS MIDDLE SCHOO,12, , , , , , , , , , 
06,BROWARD,2121,SCHOOL TOTALS,TOTAL,241,265,437,14, ,5,29,465,526,991
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,PK, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,KG, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,1, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,2, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,3, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,4, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,5, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,6, , , , , , , , , , 
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,7,1,16,1, , , , ,2,16,18
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,8,2,31,3, , , , ,11,25,36
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,9, ,11, , , , , ,2,9,11
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,10, ,9,3, , , , ,6,6,12
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,11,*,*,*,*,*,*,*,*,*,*
06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,12,*,*,*,*,*,*,*,*,*,*
06,BROWARD,2123,SCHOOL TOTALS,TOTAL,4,79,11, , , , ,27,67,94
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,PK, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,KG, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,1, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,2, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,3, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,4, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,5, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,6, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,7, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,8, , , , , , , , , , 
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,9,20,62,54,10, ,1,11,76,82,158
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,10,23,85,40,8, , ,5,83,78,161
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,11,27,57,40,10, ,1,2,71,66,137
06,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,12,41,75,61,8,1, ,5,77,114,191
06,BROWARD,2221,SCHOOL TOTALS,TOTAL,111,279,195,36,1,2,23,307,340,647
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,PK, ,55,8,1, , ,2,37,29,66
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,KG,1,59,13, , , ,4,37,40,77
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,1,3,60,15,2,1, ,1,39,43,82
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,2, ,72,10,1, , ,2,46,39,85
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,3,4,94,20, , , ,4,55,67,122
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,4,2,82,8,1, , , ,46,47,93
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,5,4,77,12,2,2, ,1,50,48,98
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,6, ,28,4,1, , ,2,21,14,35
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,7, , , , , , , , , , 
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,8, , , , , , , , , , 
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,9, , , , , , , , , , 
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,10, , , , , , , , , , 
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,11, , , , , , , , , , 
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,12, , , , , , , , , , 
06,BROWARD,2231,SCHOOL TOTALS,TOTAL,14,527,90,8,3, ,16,331,327,658
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,PK, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,KG, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,1, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,2, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,3, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,4, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,5, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,6, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,7, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,8, , , , , , , , , , 
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,9,152,206,187,15, ,2,20,279,303,582
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,10,154,244,193,24,1, ,14,315,315,630
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,11,154,265,193,16, ,2,23,339,314,653
06,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,12,136,187,162,16,1,3,9,263,251,514
06,BROWARD,2351,SCHOOL TOTALS,TOTAL,596,902,735,71,2,7,66,"1,196","1,183","2,379"
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,PK,6,16,3,1, , , ,9,17,26
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,KG,11,49,30,3, , ,2,43,52,95
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,1,11,59,30,4, ,1,2,45,62,107
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,2,15,63,28,4,1, ,2,46,67,113
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,3,20,64,32,4, ,1,1,60,62,122
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,4,19,62,25,4,2, ,3,51,64,115
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,5,10,46,23,6,1, ,3,39,50,89
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,6, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,7, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,8, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,9, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,10, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,11, , , , , , , , , , 
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,12, , , , , , , , , , 
06,BROWARD,2511,SCHOOL TOTALS,TOTAL,92,359,171,26,4,2,13,293,374,667
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,PK,3,17,7,3, , , ,3,27,30
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,KG,13,52,16,5,1, ,6,47,46,93
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,1,13,34,25,5, , ,5,40,42,82
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,2,17,38,21,5, , ,3,43,41,84
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,3,13,43,29,4, ,2,1,48,44,92
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,4,16,42,15,7, ,1,2,46,37,83
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,5,22,48,17,3, ,1,3,40,54,94
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,6, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,7, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,8, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,9, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,10, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,11, , , , , , , , , , 
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,12, , , , , , , , , , 
06,BROWARD,2531,SCHOOL TOTALS,TOTAL,97,274,130,32,1,4,20,267,291,558
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,PK,1,4,11, , , ,1,8,9,17
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,KG,36,4,52,3, ,1,2,44,54,98
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,1,37,6,57,1, , ,4,51,54,105
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,2,45,4,62,2, , ,2,50,65,115
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,3,49,3,56,1, , , ,49,60,109
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,4,49,8,39,1, , ,3,45,55,100
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,5,51,4,52,7, , ,3,58,59,117
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,6, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,7, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,8, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,9, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,10, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,11, , , , , , , , , , 
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,12, , , , , , , , , , 
06,BROWARD,2541,SCHOOL TOTALS,TOTAL,268,33,329,15, ,1,15,305,356,661
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,PK,11,37,12,3,1, , ,25,39,64
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,KG,10,50,15,2, , , ,37,40,77
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,1,9,45,20,3, , ,1,35,43,78
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,2,15,56,28,2,2, ,1,51,53,104
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,3,9,61,26,4, , ,5,45,60,105
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,4,18,43,21, ,1,2,3,44,44,88
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,5,14,46,15,1, , ,4,35,45,80
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,6,*,*,*,*,*,*,*,*,*,*
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,7, , , , , , , , , , 
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,8, , , , , , , , , , 
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,9, , , , , , , , , , 
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,10, , , , , , , , , , 
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,11, , , , , , , , , , 
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHL,12, , , , , , , , , , 
06,BROWARD,2551,SCHOOL TOTALS,TOTAL,87,342,140,15,4,2,14,277,327,604
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,PK, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,KG, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,1, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,2, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,3, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,4, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,5, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,6,136,95,92,21, ,2,18,168,196,364
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,7,150,108,98,26, , ,13,204,191,395
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,8,148,115,113,24, ,3,14,206,211,417
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,9, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,10, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,11, , , , , , , , , , 
06,BROWARD,2561,CORAL SPRINGS MIDDLE SCHOOL,12, , , , , , , , , , 
06,BROWARD,2561,SCHOOL TOTALS,TOTAL,434,318,303,71, ,5,45,578,598,"1,176"
06,BROWARD,2571,PIONEER MIDDLE SCHOOL,PK, , , , , , , , , , 
06,BROWARD,2571,PIONEER MIDDLE SCHOOL,KG, , , , , , , , , , 
