MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
DIST #,DISTRICT NAME,SCHL #,SCHOOL NAME,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,TOTAL MEMBERSHIP
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,  ,38,37,43,38,33,28, , , , , , , ,217
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,1,99,109,103,104,99,87, , , , , , , ,602
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL, ,68,68,94,82,80,83, , , , , , , ,475
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR., ,2,6,8,14,10,7,9,13,9,3,5,7,3,96
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,38,47,55,39,57,42,47, , , , , , , ,325
01,ALACHUA,0081,SIDNEY LANIER CENTER,71,2,2, ,2,3,4,7,7,3,4,4,7,43,159
01,ALACHUA,0082,HOSPITAL HOMEBOUND,2,2,2,2, ,3,3,2,2,5,2,3,5,10,43
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,21,144,97,104,97,91,87, , , , , , , ,641
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,88,81,78,79,80,67,68, , , , , , , ,541
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL, ,75,81,98,108,108,98, , , , , , , ,568
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL, , , , , , , ,260,231,226, , , , ,717
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL, , , , , , , ,253,251,244, , , , ,748
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL, , , , , , , ,278,316,338, , , , ,932
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL, , , , , , , , , , ,505,456,456,423,"1,840"
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL, , , , ,130,115,109, , , , , , , ,354
01,ALACHUA,0171,ARCHER ELEMENTARY,20,75,58,88,78,80,100, , , , , , , ,499
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL, , , , , , , ,26,36,44,41,36,24,51,258
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL, , , , , , , ,140,122,126, , , , ,388
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL, , , , , , , , , , ,186,147,146,135,614
01,ALACHUA,0271,SANTA FE HIGH SCHOOL, , , , , , , , , , ,291,324,280,278,"1,173"
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,15,34,34,39,23,34,29, , , , , , , ,208
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,15,25,31,38,25,24,35, , , , , , , ,193
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,115,109,111,95,87,79,81, , , , , , , ,677
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL, ,138,124,138,115,108,88, , , , , , , ,711
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL, ,87,85,89,89,58,66, , , , , , , ,474
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,113,50,41,36,44,25,28, , , , , , , ,337
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,12, , , , , , , , , ,71,49,47,36,215
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL, , , , , , , ,6,21,21,8,10,7,2,75
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL, , , , , , , , , , ,378,402,334,279,"1,393"
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL, , , , , , , , , , ,546,579,569,508,"2,202"
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,20,69,93,67,88,82,88,101,100,102, , , , ,810
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL, , , , , , , ,286,275,269, , , , ,830
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,22,135,118,123,122,144,116, , , , , , , ,780
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,64, , , , , , , , , , , , , ,64
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,2,152,170,130,132,115,140, , , , , , , ,841
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL, , , , , , , ,311,299,351, , , , ,961
01,ALACHUA,0503,WILES HEAD START,87, , , , , , , , , , , , , ,87
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,1,124,133,129,138,94,99, , , , , , , ,718
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,2,125,129,136,115,128,99, , , , , , , ,734
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,31,110,119,100,106,116, , , , , , , , ,582
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,22,96,129,115,107,106,97, , , , , , , ,672
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,9,102,128,120,105,129,92, , , , , , , ,685
01,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,50,136,152,155, , , , , , , , , , ,493
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL, , , , , , ,77,213,212,198, , , , ,700
01,ALACHUA,0602,ALACHUA ACADEMY, , , , , , , , ,2,2,7,3,1, ,15
01,ALACHUA,0603,AMIKIDS, , , , , , , ,1,7,14,12,6,1,1,42
01,ALACHUA,0604,PACE, , , , , , , , ,5,11,7,9,4,1,37
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJ,32,50,47,38,33,21,15, , , , , , , ,236
01,ALACHUA,0951,MICANOPY AREA COOPERATIVE SCHO,24,36,31,28,18,21,22, , , , , , , ,180
01,ALACHUA,0953,CARING & SHARING LEARNING SCHO, ,22,24,12,26,13,23,15, , , , , , ,135
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.", , , ,13,15,18,16,19,21,11, , , , ,113
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD, ,17,19,15,14,15,13, , , , , , , ,93
01,ALACHUA,0957,"ALACHUA LEARNING CENTER, INC.", ,15,16,21,15,21,23, , , , , , , ,111
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL, ,11,21,16,17, , , , , , , , , ,65
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.", , , , , , , ,20,21,12,11, , , ,64
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHART, ,18,18,17,16,11,18, , , , , , , ,98
01,ALACHUA,0991,SIATECH GAINESVILLE, , , , , , , , , , ,21,30,74,80,205
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE, , , , , , , , , , ,17,47,75,188,327
01,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL, , , , , , , ,13,14,14, , , , ,41
01,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC.", , , , , , , ,20,18,23, , , , ,61
01,ALACHUA,1012,BOULWARE SPRINGS, ,21,20,18,18,20, , , , , , , , ,97
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANC, , , , , , , ,6,3,12,6,12,12,12,63
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(D, ,2,4,5,4,5,1, , , , , , , ,21
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETE, , , , , , , ,1,7,6,11,10,4,1,40
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOO, , , , , , , , , , ,402,331,269,259,"1,261"
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL, , ,222,226,193, , , , , , , , , ,641
02,BAKER,0022,PREK/KINDERGARTEN CENTER,182,388, , , , , , , , , , , , ,570
02,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE, , , , , ,398,374, , , , , , , ,772
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL, , , , , , ,1,369,371,367, , , , ,"1,108"
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL, , ,201,195,188, , , , , , , , , ,584
02,BAKER,7023,BAKER VIRTUAL INSTRUCTION (DIS,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
03,BAY,0061,BAY HIGH SCHOOL, , , , , , , , , , ,407,327,310,321,"1,365"
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL, , , , , , , ,216,261,250, , , , ,727
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCH, ,132,125,102,121,122,119, , , , , , , ,721
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,33,94,77,66,73,61,69, , , , , , , ,473
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,46,97,74,78,76,80,73, , , , , , , ,524
03,BAY,0111,MERRIAM CHERRY STREET ELEM.,16,69,60,69,81,54,54, , , , , , , ,403
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHL,42,117,97,99,84,70,48, , , , , , , ,557
03,BAY,0141,EVERITT MIDDLE SCHOOL, , , , , , , ,185,209,214, , , , ,608
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,57,160,118,131,130,128,116, , , , , , , ,840
03,BAY,0161,JINKS MIDDLE SCHOOL, , , , , , , ,179,209,184, , , , ,572
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,59,133,108,118,130,118,109, , , , , , , ,775
03,BAY,0191,OAKLAND TERRACE SCHL FOR VIS,20,52,62,57,47,60,61, , , , , , , ,359
03,BAY,0201,SURFSIDE MIDDLE SCHOOL, , , , , , , ,242,237,274, , , , ,753
03,BAY,0211,PARKER ELEMENTARY SCHOOL,36,105,100,108,101,97,83, , , , , , , ,630
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,38,65,57,63,75,60,47, , , , , , , ,405
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,9,86,72,75,70,68,80, , , , , , , ,460
03,BAY,0241,ST. ANDREW SCHOOL, ,5,20,21,33,23,22, , , , , , , ,124
03,BAY,0251,WALLER ELEMENTARY SCHOOL,41,85,81,67,78,54,70, , , , , , , ,476
03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,6,8,3,10,9,6,7,8,8,9,12,8,8,34,136
03,BAY,0291,OSCAR PATTERSON ELEM MAGNET,10,68,65,62,59,47,56, , , , , , , ,367
03,BAY,0331,MOWAT MIDDLE SCHOOL, , , , , , , ,350,328,339, , , , ,"1,017"
03,BAY,0341,RUTHERFORD HIGH SCHOOL, , , , , , , , , , ,402,311,237,238,"1,188"
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,23,122,113,124,100,97,92, , , , , , , ,671
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,48,127,117,114,122,90,76, , , , , , , ,694
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL, , , , , , , , , , ,511,424,399,350,"1,684"
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,40,137,167,123,106,122,95, , , , , , , ,790
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,67,105,117,112,98,121,100, , , , , , , ,720
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL, ,157,137,151,151,134,122, , , , , , , ,852
03,BAY,0531,NEW HORIZONS LEARNING CENTER, , , , , , , ,20,17,24,26,17,10,4,118
03,BAY,0541,DEANE BOZEMAN SCHOOL,34,42,47,41,62,53,69,116,105,114,149,126,104,92,"1,154"
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,146, , , , , , , , , ,446,375,342,296,"1,605"
03,BAY,0571,BREAKFAST POINT ACADEMY, ,152,174,154,165,168,134,168,169,170, , , , ,"1,454"
03,BAY,0581,ROSENWALD HIGH SCHOOL,18, , , , , , , , ,19,34,53,67,54,245
03,BAY,0591,C C WASHINGTON ACADEMY, , , , , , , ,18,39,63, , , , ,120
03,BAY,0602,BAY REG.JUVENILE DETENTION CTR, , , , , , , ,1,4,7,7,7,1, ,27
03,BAY,0604,PANAMA CITY MARINE INSTITUTE, , , , , , , ,9,10,11,25,23,10,7,95
03,BAY,0701,BAY HAVEN CHARTER ACADEMY, ,108,108,108,108,128,130, , , , , , , ,690
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOO, , , , , , , ,171,171,174, , , , ,516
03,BAY,0731,NORTH BAY HAVEN CHARTER ACADEM, , , , , , , ,185,169,124, , , , ,478
03,BAY,0741,NORTH BAY HAVEN CAREER ACADEMY, , , , , , , , , , ,185,164,140,121,610
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEM, ,108,108,108,108,129,108, , , , , , , ,669
03,BAY,0771,NEWPOINT BAY CHARTER HIGH SCHO, , , , , , , , , , ,37,48,25,15,125
03,BAY,0781,CHAUTAUQUA CHARTER SCHOOL, , , , , , , , , , , , , ,44,44
03,BAY,0791,NEWPOINT MIDDLE SCHOOL, , , , , , , ,65,63,60, , , , ,188
03,BAY,2701,RISING LEADERS ACADEMY, ,18,17,20,16,14,7,10, , , , , , ,102
03,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.", ,66,49,51,52,42,43, , , , , , , ,303
03,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRA, ,7,4,14,6,6,4,2,4, ,1,2, ,4,54
03,BAY,7004,BAY VIRTUAL FRANCHISE, , , , , , , ,3,3,6,4,2,12,16,46
03,BAY,7006,BAY VIRTUAL INSTRUCTION (COURS, , , , , , , ,3, ,1,1,5,5,12,27
04,BRADFORD,0021,BRADFORD HIGH SCHOOL, , , , , , , , , , ,221,230,189,200,840
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,5,88,86,75,74,73,75, , , , , , , ,476
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,60,105,94,74,92,80,69, , , , , , , ,574
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,19,46,39,36,31,34,32, , , , , , , ,237
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,10,27,20,25,28,21,17, , , , , , , ,148
04,BRADFORD,0171,BRADFORD-UNION TECHNICAL CENTE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL, , , , , , , ,231,241,228, , , , ,700
04,BRADFORD,0181,HAMPTON ELEMENTARY SCHOOL,19,31,32,19,28,24,25, , , , , , , ,178
04,BRADFORD,0201,BRADFORD INTERVENTION CENTER, , ,1, ,2, ,2,2,4,9,1,2, ,1,24
04,BRADFORD,7004,BRADFORD VIRTUAL FRANCHISE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DIST,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,7, , , , , , , , , ,327,359,311,322,"1,326"
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,42,118,116,119,127,112,106,106,1, , , , , ,847
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL, , , , , , , , ,234,236, , , , ,470
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL, ,132,127,86,120,97,104,99, , , , , , ,765
05,BREVARD,0072,RIVERVIEW SCHOOL,133, , , , , , , , , , , , , ,133
05,BREVARD,0073,SOUTH AREA HEAD START,33, , , , , , , , , , , , , ,33
05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL, , ,3,3,5,4,5,3,14,16,27,9,3,13,105
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,2,98,82,84,75,72,72,82, , , , , , ,567
05,BREVARD,0101,MIMS ELEMENTARY SCHOOL,25,48,93,91,80,77,81,87, , , , , , ,582
05,BREVARD,0141,ANDREW JACKSON MIDDLE SCHOOL, , , , , , , , ,284,311, , , , ,595
05,BREVARD,0151,IMPERIAL ESTATES ELEM. SCHOOL,3,90,91,100,102,90,90,98, , , , , , ,664
05,BREVARD,0161,ASTRONAUT HIGH SCHOOL, , , , , , , , , ,1,315,300,263,253,"1,132"
05,BREVARD,0181,PINEWOOD ELEMENTARY SCHOOL,57,54,57,67,55,65,43,44, , , , , , ,442
05,BREVARD,0191,CHALLENGER 7 ELEMENTARY SCHOOL,13,64,64,80,65,58,69,67, , , , , , ,480
05,BREVARD,0201,ATLANTIS ELEMENTARY SCHOOL,15,79,82,102,75,85,93,87, , , , , , ,618
05,BREVARD,0301,ENTERPRISE ELEMENTARY SCHOOL,1,51,91,73,80,90,74,79, , , , , , ,539
05,BREVARD,0302,SPACE COAST JR/SR HIGH SCHOOL, , , , , , , , ,247,274,286,269,267,184,"1,527"
05,BREVARD,1002,CENTER FOR DRUG FREE LIVING, , , , , , , ,2,4,7,14,1, , ,28
05,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL, , , , , , , , , , ,364,364,377,270,"1,375"
05,BREVARD,1014,BREVARD COUNTY JAIL COMPLEX,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
05,BREVARD,1017,NORTH/CENTRAL AREA ALTERNATIVE, , , , , , , ,2,9,12,23,8,9,5,68
05,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNIN, , , , , , , ,1,10,19,14,12,9,1,66
05,BREVARD,1020,OUTWARD BOUND, , , , , , , ,2,1,3,2,4,1, ,13
05,BREVARD,1021,ESE INFANTS AND TODDLERS,274, , , , , , , , , , , , , ,274
05,BREVARD,1025,BREVARD COUNTY JUV.DET.CTR., , , , , , , ,3,7,8,11,5,3,1,38
05,BREVARD,1026,FRANCES WALKER HALFWAY HOUSE, , , , , , , , ,2,4,5,6,5,5,27
05,BREVARD,1027,MELBOURNE CENTER FOR PERSONAL, , , , , , , , ,1,10,6,5,5,1,28
05,BREVARD,1028,DEVEREUX HOSPITAL, , , , , ,2,1,4,7,14,16,14,2,3,63
05,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL, , , ,3,9,3,9,4,13,16,15,29,9,26,136
05,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,74,71,101,91,82,72,80,66, , , , , , ,637
05,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,80,123,139,128,106,84,79,69, , , , , , ,808
05,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,40,94,88,86,96,102,96,73, , , , , , ,675
05,BREVARD,1073,PROJECT SEARCH, , , , , , , , , , , , , ,42,42
05,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE, , , , , , , , ,239,218, , , , ,457
05,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,35,82,103,79,97,91,92,110, , , , , , ,689
05,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL, , , , , , , , ,296,310, , , , ,606
05,BREVARD,1121,COCOA HIGH SCHOOL,23, , , , , , , ,289,273,285,274,201,185,"1,530"
05,BREVARD,1131,SATURN ELEMENTARY SCHOOL,69,116,85,97,107,91,98,86, , , , , , ,749
05,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMEN,5,116,93,96,88,89,111,116, , , , , , ,714
05,BREVARD,1151,RALPH M WILLIAMS JR ELEMENTARY,29,62,73,70,76,77,84,68, , , , , , ,539
05,BREVARD,1161,MANATEE ELEMENTARY,8,121,109,129,112,127,122,107, , , , , , ,835
05,BREVARD,1171,VIERA HIGH SCHOOL,19, , , , , , , , , ,516,528,478,491,"2,032"
05,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL, , , , , , , , , , ,609,606,467,449,"2,131"
05,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SC,26, , , , , , , , ,1,468,427,409,267,"1,598"
05,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMEN, , , , ,253,256,212,208, , , , , , ,929
05,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY,6,259,241,272,2, , , , , , , , , ,780
05,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL, ,72,72,72,72,88,88,83, , , , , , ,547
05,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCH,62,85,89,93,84,72,84,66, , , , , , ,635
05,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,52,106,124,112,88,89,99,102, , , , , , ,772
05,BREVARD,2071,STONE MAGNET MIDDLE SCHOOL, , , , , , , , ,402,381, , , , ,783
05,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,79,125,142,113,99,109,99,97, , , , , , ,863
05,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,20,116,115,105,109,106,99,116, , , , , , ,786
05,BREVARD,2121,"JOHN F. TURNER, SR. ELEMENTARY",68,116,104,99,74,98,97,102, , , , , , ,758
05,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL, , , , , , , , ,444,461, , , , ,905
05,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,45,60,84,76,85,76,81,63, , , , , , ,570
05,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,43,97,93,97,112,95,94,78, , , , , , ,709
05,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,40,112,91,125,93,98,107,75, , , , , , ,741
05,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,69,107,115,95,101,89,70,68, , , , , , ,714
05,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,79,106,113,117,113,104,102,110, , , , , , ,844
05,BREVARD,2211,BAYSIDE HIGH SCHOOL, , , , , , , , , , ,450,464,410,319,"1,643"
05,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,4,100,132,110,110,103,106,104, , , , , , ,769
05,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,49,108,113,114,124,111,114,114, , , , , , ,847
05,BREVARD,2311,HERITAGE HIGH SCHOOL, , , , , , , , , , ,492,519,454,360,"1,825"
05,BREVARD,3011,EAU GALLIE HIGH SCHOOL,21, , , , , , , , ,1,455,495,399,343,"1,714"
05,BREVARD,3021,CENTRAL MIDDLE SCHOOL, , , , , , , , ,606,631, , , , ,"1,237"
05,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHL, , , , , , , , ,391,396, , , , ,787
05,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,37,91,55,75,78,63,76,69, , , , , , ,544
05,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,26,53,65,53,50,56,51,46, , , , , , ,400
05,BREVARD,3071,SABAL ELEMENTARY SCHOOL,27,78,84,70,94,73,75,83, , , , , , ,584
05,BREVARD,3091,CROTON ELEMENTARY SCHOOL,27,98,80,102,77,84,102,83, , , , , , ,653
05,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,42,95,78,88,82,82,73,83, , , , , , ,623
05,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,5,86,73,88,87,91,111,88, , , , , , ,629
05,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,14,75,101,73,66,85,95,90, , , , , , ,599
05,BREVARD,3141,WEST SHORE JUNIOR/SENIOR HIGH, , , , , , , , ,169,166,165,160,153,143,956
05,BREVARD,3151,QUEST ELEMENTARY SCHOOL,22,95,106,117,112,103,105,113, , , , , , ,773
05,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,17, , , , , , , , , ,394,395,400,388,"1,594"
05,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL, , , , , , , , ,179,186,160,149,130,137,941
05,BREVARD,4031,MILA ELEMENTARY SCHOOL,38,57,84,80,66,55,54,61, , , , , , ,495
05,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,9,104,108,106,105,118,89,97, , , , , , ,736
05,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,26,77,94,86,90,83,95,95, , , , , , ,646
05,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY, ,72,72,53,55,81,72,78, , , , , , ,483
05,BREVARD,4111,THOMAS JEFFERSON MIDDLE SCHOOL, , , , , , , , ,311,339, , , , ,650
05,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,2,87,64,92,91,85,94,105, , , , , , ,620
05,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH, , , , , , , , ,177,195,196,231,160,167,"1,126"
05,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY,1,46,59,53,52,53,48,59, , , , , , ,371
05,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL IN, ,51,54,54,54,66,66,62, , , , , , ,407
05,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,35,62,49,61,46,38,51,38, , , , , , ,380
05,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,20, , , , , , , , , ,330,368,340,261,"1,319"
05,BREVARD,6012,DELAURA MIDDLE SCHOOL, , , , , , , , ,340,359, , , , ,699
05,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY,8,57,68,66,53,60,57,58, , , , , , ,427
05,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,20,41,50,48,47,42,57,38, , , , , , ,343
05,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,2,51,64,66,61,65,61,48, , , , , , ,418
05,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,8,70,68,80,82,57,73,72, , , , , , ,510
05,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,8,83,92,126,107,121,122,103, , , , , , ,762
05,BREVARD,6082,HERBERT C. HOOVER MIDDLE SCHOO, , , , , , , , ,285,279, , , , ,564
05,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,1,58,57,60,55,88,93,91, , , , , , ,503
05,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHL,60,134,128,131,124,141,123,129,2, , , , , ,972
05,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOO, ,99,96,70,68,63,54,63,56,52, , , , ,621
05,BREVARD,6506,CAMPUS CHARTER SCHOOL, ,29,25,22,13,17,19,9, , , , , , ,134
05,BREVARD,6507,ODYSSEY CHARTER SCHOOL, ,92,93,94,96,72,104,94,135,117,43, , , ,940
05,BREVARD,6508,SCULPTOR CHARTER SCHOOL, ,51,58,57,58,61,66,68,68,55, , , , ,542
05,BREVARD,6509,ROYAL PALM CHARTER SCHOOL, ,36,36,36,35,44,43,44,38,42, , , , ,354
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER, ,25,26,12,12,9,10,6, , , , , , ,100
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOU, ,36,36,37,25,28,29,26, , , , , , ,217
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY, ,56,52,32,40,31,25,33,19,11, , , , ,299
05,BREVARD,6540,VIERA CHARTER SCHOOL, ,92,89,91,90,89,88,107,119,72, , , , ,837
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER AC, ,48,54,35,16,41,20,20, , , , , , ,234
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE, , , , , , , ,6,14,15,9,15,9,6,74
05,BREVARD,7023,BREVARD VIRTUAL ESCHOOL, ,8,6,5,7,10,9,5,3,1, , , , ,54
06,BROWARD,0011,DEERFIELD BEACH ELEMENTARY SCH,20,111,129,120,116,116,96, , , , , , , ,708
06,BROWARD,0021,POMPANO BEACH MIDDLE SCHOOL, , , , , , , ,330,344,348, , , , ,"1,022"
06,BROWARD,0031,OAKLAND PARK ELEMENTARY SCHOOL,41,92,108,108,96,82,88, , , , , , , ,615
06,BROWARD,0041,NORTH SIDE ELEMENTARY SCHOOL,56,68,80,62,67,65,67, , , , , , , ,465
