MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
52,PINELLAS,0161,BAY POINT ELEMENTARY SCHOOL, ,102,103,106,106,112,112, , , , , , , ,641
52,PINELLAS,0171,BAY POINT MIDDLE SCHOOL, , , , , , , ,331,266,320, , , , ,917
52,PINELLAS,0231,BAY VISTA FUNDAMENTAL ELEM., ,105,107,108,108,109,109, , , , , , , ,646
52,PINELLAS,0251,BAYSIDE HIGH SCHOOL, , , , , , , , , , ,20,39,139,132,330
52,PINELLAS,0271,BEAR CREEK ELEMENTARY SCHOOL,46,52,44,54,47,44,49, , , , , , , ,336
52,PINELLAS,0321,BELCHER ELEMENTARY SCHOOL,37,101,114,120,112,91,98, , , , , , , ,673
52,PINELLAS,0371,BELLEAIR ELEMENTARY SCHOOL,43,115,115,101,108,94,72, , , , , , , ,648
52,PINELLAS,0391,BLANTON ELEMENTARY SCHOOL,30,83,90,93,86,61,60, , , , , , , ,503
52,PINELLAS,0431,BOCA CIEGA HIGH SCHOOL, , , , , , , , , , ,531,446,386,318,"1,681"
52,PINELLAS,0441,BROOKER CREEK ELEMENTARY SCHL,17,62,91,73,84,90,89, , , , , , , ,506
52,PINELLAS,0481,CAMPBELL PARK ELEMENTARY SCHOO,28,97,109,100,102,79,48, , , , , , , ,563
52,PINELLAS,0521,ESE COUNTYWIDE,108, , , , , , , , , , , ,1,2,111
52,PINELLAS,0531,JOSEPH L. CARWISE MIDDLE SCHOO, , , , , , , ,341,342,383, , , , ,"1,066"
52,PINELLAS,0681,PAUL B. STEPHENS ESE CENTER,3,1,6,7,6,11,10,8,18,12,15,19,10,79,205
52,PINELLAS,0711,CLEARWATER HIGH SCHOOL, , , , , , , , , , ,550,507,453,359,"1,869"
52,PINELLAS,0731,CLEARWATER FUNDAMENTAL MIDDLE, , , , , , , ,293,264,270, , , , ,827
52,PINELLAS,0751,COUNTRYSIDE HIGH SCHOOL,25, , , , , , , , , ,592,540,564,454,"2,175"
52,PINELLAS,0811,CROSS BAYOU ELEMENTARY SCHOOL,19,75,87,85,73,80,73, , , , , , , ,492
52,PINELLAS,0851,CURLEW CREEK ELEMENTARY SCHOOL,45,111,92,104,101,102,109, , , , , , , ,664
